Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Bertrand Traoré,FW,26,2.6,75,72,2,0,0,2,5,1,1,1,0,0,59,1,5,8,233,1,0,7,8,1.75,6,1,1.93,5.8,1.8,2,0,2,2,0,0,1,0,0.7,0.7,0.1,9,9,28,9,3,16.4,0,1.3,0,8,41,66,13,114,4,1,3,81,462,246,3,5,8,7,89,59,75,868,258,36,40,18,21,3,5,0.1,1,1,5,3,0,2,8,3,2,1,0,0,0,8,2,4,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Jhon Durán,FW,18,1.5,29,26,3,0,0,0,2,1,0,0,0,0,16,0,1,12,136,0,0,12,5,1.42,3,4,-0.83,1.7,3.8,0,0,0,0,0,0,1,0,0.6,0.6,0,4,4,13,7,2,19.8,0,-0.6,3,3,26,29,6,57,2,1,1,33,205,123,5,1,8,3,41,16,29,264,47,8,12,7,12,1,2,0,1,1,1,0,0,9,3,3,2,2,0,0,0,5,7,10,5,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Cameron Archer,FW,21,0.5,12,11,1,1,0,0,1,0,0,0,0,0,8,0,1,6,49,0,0,6,8,1.17,0,1,-2,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,8,7,3,15,1,1,0,15,114,72,1,1,2,3,13,8,12,108,44,5,5,3,5,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Joshua King,FW,26,32.9,858,830,21,0,11,2,43,5,1,0,0,0,588,7,28,35,2961,34,20,1,0,1.2,48,57,0.71,44.1,46.5,12,3,15,7,5,6,3,0,13.5,8.7,3.8,131,85,248,66,18,16.3,0,-1.5,26,142,563,626,160,1283,126,65,61,926,7079,3563,87,46,113,96,983,588,858,7953,1845,363,469,168,249,22,45,2.9,34,41,36,6,0,53,45,7,7,19,2,0,0,148,88,116,83,61,0,10,3,9,0,12,9,0,0,0,3,0,7,19,4,8,29,21,28,4,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Callum Wilson,FW,26,28.1,464,441,21,0,2,1,20,1,1,0,0,0,303,2,31,30,2528,29,21,1,0,1.37,48,47,1.55,42.7,40.7,14,9,23,13,1,2,3,0,13.4,11.9,5.4,49,44,197,63,27,11.8,0,0.6,23,76,288,388,150,741,42,17,25,539,2401,1118,18,24,96,44,583,303,464,4006,957,197,268,81,113,11,21,2.9,30,22,19,3,0,41,32,19,4,7,3,0,0,59,46,89,78,53,0,8,6,11,0,19,12,0,3,2,2,0,4,3,2,0,8,8,14,4,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Dominic Solanke,FW,20,3.9,100,97,3,0,1,0,1,0,0,0,0,0,71,0,5,10,347,2,0,8,1,0.9,6,5,0.7,8,6.5,0,1,1,0,0,0,0,0,1,1,0.4,10,6,24,11,3,13.9,0,-1,13,23,72,72,22,163,17,10,7,106,624,271,4,4,15,9,118,71,100,777,165,51,64,9,14,2,4,0.2,8,2,2,0,0,2,9,1,2,3,0,0,0,17,15,24,20,12,0,3,1,2,2,2,1,0,0,0,0,1,1,4,3,1,8,7,4,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Lys Mousset,FW,22,4.1,124,112,12,0,2,0,3,0,0,0,0,0,87,0,4,24,368,1,1,23,10,1,3,15,-2.88,5.1,9.1,1,0,1,1,0,0,1,0,1.4,1.4,0.3,5,12,41,12,7,14.8,0,-0.4,2,13,89,95,28,194,19,10,9,122,686,196,3,3,20,5,142,87,124,1053,222,59,77,22,32,1,1,0.7,4,9,4,0,0,7,5,4,1,1,0,0,0,11,9,13,10,7,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Callum Wilson,FW,27,32.3,542,514,25,0,3,3,27,2,0,0,0,0,334,3,32,35,"2,908",32,27,3,0,0.89,36,53,0.88,37.5,54.5,8,1,9,8,0,0,10,0,9.9,9.9,2.8,45,52,197,55,21,12.4,0,-1.9,23,73,314,475,143,855,45,24,21,565,2473,1014,26,23,107,51,634,334,542,4323,951,227,308,71,122,15,25,2,28,28,14,1,0,55,40,32,4,9,2,0,0,70,65,144,60,42,0,4,6,8,0,9,3,0,2,1,3,0,3,6,3,2,17,15,16,2,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Joshua King,FW,27,22.3,524,503,20,2,4,1,22,2,1,0,0,0,369,1,27,26,"2,011",24,13,2,0,0.96,23,37,0.08,28.5,35.2,6,4,10,3,3,3,0,0,6.5,4.1,4.1,60,46,151,23,10,14.4,0,-0.5,12,88,350,399,84,814,107,52,55,555,4169,1749,47,23,77,54,585,369,524,4923,1128,228,281,95,141,17,26,2.2,30,21,18,4,0,37,27,7,8,6,0,0,0,105,59,66,61,45,0,8,2,5,1,8,5,0,2,0,1,0,4,8,4,4,16,12,20,3,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Dominic Solanke,FW,21,18.3,439,421,16,0,0,3,6,0,0,0,0,0,301,2,18,32,"1,651",17,10,15,6,0.78,22,39,-0.52,21.8,29.2,3,1,4,3,0,0,1,0,4.6,4.6,1.2,35,35,109,32,8,14.8,0,-1.6,18,76,289,308,75,667,62,26,36,418,2570,995,26,15,52,54,469,301,439,3698,828,202,256,60,92,13,21,0.9,15,26,7,1,0,15,23,4,8,4,0,0,0,83,63,91,43,31,0,3,4,5,0,5,2,0,1,1,1,0,2,5,1,5,33,28,9,1,8,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Sam Surridge,FW,21,0.3,11,9,1,0,0,0,1,0,0,0,0,0,5,1,0,4,27,0,0,4,8,0.75,0,2,-6.06,0.9,1.6,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0,2,5,2,0,11.9,0,-0.5,0,3,6,13,6,22,2,1,1,12,61,20,0,1,3,1,16,5,11,72,21,2,6,3,4,0,0,0,1,1,1,0,0,2,1,0,1,0,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45
Dominic Solanke,FW,24,31.8,533,479,52,0,3,1,13,4,0,0,0,0,363,2,34,33,"2,860",32,19,1,0,1.15,35,52,2.2,34.5,51.4,6,7,13,6,0,0,2,0,9.1,9.1,3.9,70,47,167,76,28,12.8,0,-3.1,54,157,423,454,159,1012,110,45,54,637,4479,1723,40,36,134,74,730,363,533,4673,1106,225,294,101,135,14,24,2.4,21,22,17,1,0,40,53,11,6,9,0,0,0,87,52,98,61,36,1,11,10,2,1,13,10,1,0,2,0,0,8,3,4,5,22,17,26,7,19,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
David Brooks,FW,25,1.9,63,61,2,0,0,0,6,0,2,1,1,0,46,0,3,6,173,2,0,4,5,0,0,4,-1.25,1,4.5,0,0,0,0,0,0,1,0,0.3,0.3,0.2,5,11,10,5,1,20.6,1,-0.3,8,19,35,39,9,93,9,2,7,61,270,120,2,2,4,4,65,46,63,640,140,30,32,13,16,2,9,0.2,2,4,1,0,0,3,1,0,2,0,0,0,0,4,2,3,8,5,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Bryan Mbeumo,FW,21,32.3,817,762,49,20,5,3,75,6,21,14,2,1,527,6,35,35,"2,905",34,22,1,1,1.23,41,47,0.16,41.2,39.5,4,7,11,3,1,1,4,0,9.3,8.5,3.7,81,56,273,76,19,16.3,4,-5.3,18,126,427,655,137,1187,80,39,41,713,4405,2052,39,33,87,57,828,527,817,7739,1649,315,409,149,229,38,81,3.3,34,33,28,7,0,20,38,13,11,16,0,0,0,130,29,103,86,53,10,10,6,7,0,12,10,1,0,0,1,0,1,12,15,6,20,14,21,6,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Ivan Toney,FW,25,32.3,779,756,17,4,16,2,28,12,0,0,0,0,440,6,28,33,"2,909",32,32,1,0,1.24,43,47,0.58,40.5,40.9,12,5,17,7,5,5,8,0,11.4,7.4,5.8,28,83,168,83,24,15.8,0,0.6,53,144,515,550,158,1193,50,24,26,640,2577,1042,26,13,109,44,910,440,779,5786,2033,266,411,108,204,23,51,5.6,43,56,25,2,0,50,80,25,14,21,3,0,0,105,147,114,94,57,1,2,18,14,2,10,5,0,1,0,4,0,5,20,8,12,38,26,16,2,14,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Yoane Wissa,FW,24,14.3,286,281,4,2,2,0,11,1,0,0,0,0,188,1,10,30,"1,284",12,5,18,3,1.3,20,22,0.11,17,16.6,7,1,8,7,0,0,0,0,3.1,3.1,0.9,19,29,84,32,13,16.4,0,3.9,12,57,175,195,47,419,30,19,11,241,1217,557,12,6,34,6,284,188,286,2465,593,121,164,50,70,7,17,1,9,13,10,1,0,8,22,7,8,6,0,0,0,58,20,31,27,16,0,2,4,4,1,4,3,0,0,1,0,0,5,4,3,1,16,15,12,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Marcus Forss,FW,22,2.3,38,34,3,0,0,1,1,0,0,0,0,0,22,1,1,7,209,1,1,6,16,0.86,4,4,0.22,4.3,4.2,0,1,1,0,0,0,0,0,0.3,0.3,0.2,2,6,12,5,0,15.8,0,-0.3,0,2,39,28,6,69,4,1,3,29,126,44,0,0,9,1,37,22,38,341,115,12,19,5,9,3,3,0,1,5,1,0,0,3,1,0,1,3,0,0,0,4,2,7,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,1,2,4,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Bryan Mbeumo,FW,22,32.3,991,845,139,48,7,7,156,19,71,37,12,5,655,7,42,38,"2,906",36,10,2,0,1.55,50,39,0.17,45.6,41.4,9,8,17,8,1,1,5,0,9.8,9,7.6,66,88,235,70,32,16.3,1,-0.8,24,177,425,755,125,1334,88,45,37,776,4292,1862,33,26,72,54,862,655,991,10466,3238,376,456,185,287,71,151,5.6,51,37,45,13,0,27,23,6,13,18,0,0,0,135,35,63,97,62,27,7,0,1,0,15,12,2,1,0,0,0,5,13,8,8,42,34,24,1,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
