Jamal Lewis,11000000,,,
Ciaran Clark,4800000,,,
Bernardo,4800000,,,
Dan Burn,4000000,,,
Federico Fern?ndez,5500000,,,
Jamaal Lascelles,14500000,,,
Jonjo Shelvey,14500000,,,
Isaac Hayden,8000000,,,
Wes Foderingham,400000,,,
John Lundstram,8000000,,,
Ben White,5500000,,,
Emil Krafth,4000000,,,
Luke Freeman,2800000,,,
Rhian Brewster,5400000,,,
Fabian Sch?r,13000000,,,
Billy Sharp,1600000,,,
Dominic Calvert-Lewin,24000000,,,
Mark Gillespie,400000,,,
Karl Darlow,2400000,,,
Freddie Woodman,3200000,,,
Tammy Abraham,40000000,,,
Olivier Giroud,7000000,,,
Andriy Yarmolenko,9500000,,,
Michail Antonio,9500000,,,
Sa?d Benrahma,10500000,,,
Pablo Fornals,16000000,,,
Manuel Lanzini,16000000,,,
Mark Noble,4800000,,,
Ryan Fredericks,4000000,,,
Declan Rice,49500000,,,
Aaron Cresswell,6500000,,,
Arthur Masuaku,6500000,,,
Craig Dawson,4800000,,,
Angelo Ogbonna,6500000,,,
Fabi?n Balbuena,9500000,,,
Lukasz Fabianski,3200000,,,
Issa Diop,28000000,,,
Darren Randolph,2800000,,,
Izzy Brown,2000000,,,
Charly Musonda Jr.,1000000,,,
Callum Hudson-Odoi,31500000,,,
Tino Anjorin,2300000,,,
Billy Gilmour,5400000,,,
Ross Barkley,21500000,,,
Jorginho,52000000,,,
N'Golo Kant?,80000000,,,
Timo Werner,64000000,,,
Kai Havertz,81000000,,,
C?sar Azpilicueta,24000000,,,
Emerson,24000000,,,
Ben Chilwell,40000000,,,
Mason Mount,40500000,,,
Hakim Ziyech,40000000,,,
Thiago Silva,4800000,,,
Andreas Christensen,24000000,,,
Reece James,22500000,,,
Kurt Zouma,28000000,,,
Jake Clarke-Salter,2800000,,,
Antonio R?diger,40000000,,,
Jamal Blackman,400000,,,
Willy Caballero,600000,,,
Edouard Mendy,7000000,,,
Ra?l Jim?nez,40000000,,,
Renat Dadashov,350000,,,
Jo?o Moutinho,8000000,,,
Morgan Gibbs-White,7200000,,,
Ki-Jana Hoever,3600000,,,
Mar?al,2400000,,,
Max Kilman,800000,,,
Willy Boly,14500000,,,
John Ruddy,2000000,,,
Rui Patr?cio,16000000,,,
Jonny Otto,16000000,,,
Erik Lamela,16000000,,,
Lucas Moura,32000000,,,
Steven Bergwijn,28000000,,,
Harry Kane,120000000,,,
Dele Alli,64000000,,,
Heung-min Son,64000000,,,
Moussa Sissoko,20000000,,,
Jack Clarke,5400000,,,
Serge Aurier,16000000,,,
Giovani Lo Celso,40000000,,,
Danny Rose,16000000,,,
Ben Davies,17500000,,,
Cameron Carter-Vickers,2000000,,,
Oliver Skipp,7200000,,,
Eric Dier,20000000,,,
Japhet Tanganga,7200000,,,
Davinson S?nchez,48000000,,,
Hugo Lloris,14500000,,,
Toby Alderweireld,24000000,,,
Matt Doherty,16000000,,,
Joe Hart,2400000,,,
Joe Rodon,2000000,,,
Keinan Davis,2300000,,,
Anwar El Ghazi,8000000,,,
Bertrand Traor?,9500000,,,
Ollie Watkins,12000000,,,
Henri Lansbury,1200000,,,
Conor Hourihane,6000000,,,
Mahmoud Trezeguet,8000000,,,
Morgan Sanson,22500000,,,
Wesley Moraes,24000000,,,
John McGinn,16000000,,,
Marvelous Nakamba,8000000,,,
Fr?d?ric Guilbert,7000000,,,
Matty Cash,4800000,,,
Kortney Hause,6500000,,,
Bj?rn Engels,9500000,,,
Neil Taylor,2800000,,,
Jed Steer,1200000,,,
Tom Heaton,4800000,,,
?rjan Nyland,1200000,,,
Lovre Kalinic,2800000,,,
Ahmed Elmohamady,2000000,,,
Tyrone Mings,22500000,,,
Matt Targett,10500000,,,
Ch? Adams,12000000,,,
Jake Hesketh,200000,,,
Will Smallbone,1000000,,,
Luke Thomas,1000000,,,
Neco Williams,4000000,,,
Teden Mengi,1000000,,,
Niels Nkounkou,500000,,,
Jarrad Branthwaite,2000000,,,
Kean Bryan,250000,,,
Robert S?nchez,150000,,,
Jo?o Virg?nia,150000,,,
Ben Johnson,1000000,,,
David Martin,250000,,,
Matija Sarkic,100000,,,
Brandon Austin,250000,,,
Alfie Whiteman,750000,,,
Frederik Alves,350000,,,
