Ederson,45000000
R?ben Dias,75000000
Aymeric Laporte,45000000
Josh Wilson-Esbrand,400000
Andr? Gomes,18000000
Mads Bech S?rensen,5000000
Nicolas P?p?,25000000
Yan Valery,2500000
Allan,15000000
Tariqe Fosu,2000000
Fin Stevens,400000
Ellery Balcombe,300000
Sonny Perkins,1200000
Tyler Roberts,8000000
Jamie Shackleton,2500000
Charlie Cresswell,3000000
Shola Shoretire,4000000
Amad Diallo,15000000
Hannibal,6000000
Matej Kovar,400000
Hamza Choudhury,4000000
Luke Cundle,800000
Louie Moulden,200000
Matty Longstaff,1800000
Isaac Hayden,8000000
Ciaran Clark,1800000
Enock Mwepu,18000000
Haydon Roberts,500000
Tim Iroegbunam,2500000
Kortney Hause,4000000
Alfie Devine,900000
Rhys Williams,4000000
Dan Nlundulu,1200000
Nathan Tella,1800000
Will Smallbone,2000000
Liam Delap,1500000
Claudio Gomes,1000000
Luke Mbete,600000
Zack Steffen,6000000
Kevin Schade,7000000
Georginio Rutter,16000000
Marcel Sabitzer,15000000
Naouirou Ahamada,1500000
Marc Roca,7000000
Tyler Adams,17000000
Sasa Kalajdzic,25000000
Armel Bella-Kotchap,10000000
Chris Richards,7500000
Erling Haaland,150000000
Manuel Akanji,30000000
Stefan Ortega,6000000
Cody Gakpo,30000000
Noni Madueke,18000000
Diogo Monteiro,100000
Wilfried Gnonto,10000000
Luis Sinisterra,25000000
Antony,35000000
Tyrell Malacia,17000000
Lisandro Mart?nez,32000000
Reiss Nelson,6500000
Mikkel Damsgaard,15000000
Aaron Hickey,18000000
Thomas Strakosha,7000000
Axel Tuanzebe,7000000
Dennis Praet,13000000
Gianluca Scamacca,30000000
Ivan Perisic,10000000
Arthur Melo,18000000
Kalidou Koulibaly,35000000
Ainsley Maitland-Niles,10000000
Mislav Orsic,10000000
Matheus Cunha,30000000
?lex Moreno,18000000
Arnaut Danjuma,50000000
Jo?o F?lix,70000000
Joel Robles,1500000
Anthony Martial,16000000
Facundo Pellistri,2500000
Casemiro,40000000
Alexander Isak,30000000
Adama Traor?,20000000
Pervis Estupi??n,20000000
Diego Carlos,40000000
Ludwig Augustinsson,5000000
Pierre-Emerick Aubameyang,15000000
Bryan Gil,18000000
Cl?ment Lenglet,12000000
Nathan Trott,500000
Halil Dervisoglu,3000000
R?ben Vinagre,5000000
Darwin N??ez,55000000
F?bio Vieira,25000000
Pablo Sarabia,25000000
Idrissa Gueye,12000000
Amadou Onana,10000000
Wout Faes,10000000
Boubacar Traor?,1800000
Sven Botman,30000000
Boubacar Kamara,25000000
Lucas Paquet?,35000000
Emerson,14000000
Thilo Kehrer,22000000
Nayef Aguerd,12000000
Pape Matar Sarr,15000000
William Saliba,30000000
S?kou Mara,3000000
Duje Caleta-Car,16000000
Cheick Doucour?,15000000
Tet?,22000000
Mario Lemina,9000000
Beno?t Badiashile,30000000
Kamaldeen Sulemana,18000000
Maximilian W?ber,12000000
Rasmus Kristensen,15000000
Brenden Aaronson,25000000
Juli?n ?lvarez,23000000
Facundo Buonanotte,50000
Carlos Alcaraz,8000000
M?ximo Perrone,2000000
Yegor Yarmolyuk,400000
Mykhaylo Mudryk,9000000
Sepp van den Berg,5000000
James Garner,7000000
Keane Lewis-Potter,12000000
Charlie Goode,900000
Cody Drameh,3000000
Alex Smithies,800000
Daniel Iversen,2000000
Jan Paul van Hecke,5000000
Cameron Archer,6000000
Levi Colwill,5000000
Jed Steer,600000
Flynn Downes,2000000
Djed Spence,8000000
F?bio Carvalho,12000000
Nathaniel Phillips,8000000
Malcolm Ebiowei,1000000
Sam Johnstone,12000000
Ian Poveda,2000000
Keinan Davis,2500000
Aaron Connolly,6000000
Teden Mengi,2000000
Harry Souttar,5000000
Daniel Bentley,2500000
Jeff Hendrick,5000000
Taylor Richards,400000
Jaden Philogene,3000000
Abdul-Rahman Baba,2200000
James Bree,2500000
Luke Plange,800000
Diego Costa,4000000
Paul Onuachu,17000000
Deniz Undav,8000000
Kaoru Mitoma,2500000
Sergio G?mez,10000000
Marquinhos,7000000
Matt Turner,5000000
