FName,LName,TMID
Emiliano,Mart?nez,111873
Viljami,Sinisalo,484838
Jacob,Ramsey,503749
Ezri,Konsa,413403
Morgan,Sanson,174094
Kortney,Hause,233124
Ludwig,Augustinsson,170646
Michail,Antonio,104124
Danny,Ings,134294
Gianluca,Scamacca,315867
Jarrod,Bowen,314875
Armstrong,Oko-Flex,531461
Maxwel,Cornet,234781
Kamarai,Swyer,693066
Manuel,Lanzini,135853
Pablo,Fornals,357885
,Lucas Paquet?,444523
Lewis,Orford,845809
Dan,Chesters,561452
Flynn,Downes,506189
Freddie,Potts,698164
Sa?d,Benrahma,290532
Keenan,Appiah-Forson,554098
Oliver,Scarles,922563
Conor,Coventry,419025
Harrison,Ashby,559130
Vladimir,Coufal,157672
Regan,Clayton,845717
Aaron,Cresswell,92571
Ben,Johnson,468002
,Emerson,181778
Michael,Forbes,701006
Levi,Laing,586982
Jamal,Baptiste,610706
Angelo,Ogbonna,48002
Kaelan,Casey,845321
Craig,Dawson,121477
Pierre,Ekwah,538994
Declan,Rice,357662
Kriszti?n,Hegyi,543726
Thilo,Kehrer,228948
Lukasz,Fabianski,29692
Nayef,Aguerd,361914
Alphonse,Areola,120629
Tomas,Soucek,283628
Nathan,Trott,431422
Joseph,Anang,576099
Kurt,Zouma,157509
Pierre-Emerick,Aubameyang,58864
Nathan,Butler-Oyedeji,638964
Jimmy-Jay,Morgan,936867
Khayon,Edwards,741650
Layton,Stewart,580801
,Roberto Firmino,131789
,Richarlison,378710
David Datro,Fofana,787232
Harry,Kane,132098
,Lucas Moura,77100
Dejan,Kulusevski,431755
Arnaut,Danjuma,355861
Heung-min,Son,91845
Bryan,Gil,537382
Yago,Santiago,706947
Alfie,Devine,728734
Ivan,Perisic,42460
Ryan,Sessegnon,392775
Pape Matar,Sarr,568693
Romaine,Mundle,696181
Yves,Bissouma,410425
Pierre-Emile,H?jbjerg,167799
George,Abbott,907215
Harvey,White,581598
Matthew,Craig,633659
Oliver,Skipp,406638
Djed,Spence,483348
,Emerson Royal,476344
Matt,Doherty,171679
Cl?ment,Lenglet,182904
Rodrigo,Bentancur,354362
Japhet,Tanganga,346478
Davinson,S?nchez,341429
Eric,Dier,175722
Cristian,Romero,355915
Alfie,Whiteman,282823
Fraser,Forster,52570
Hugo,Lloris,17965
Brandon,Austin,428016
Ben,Davies,192765
Ben,Doak,719673
,Mohamed Salah,148455
Cody,Gakpo,434675
Luis,D?az,480692
Melkamu,Frauendorf,594721
,Diogo Jota,340950
F?bio,Carvalho,559263
Bobby,Clark,712117
James,Milner,3333
Alex,Oxlade-Chamberlain,143424
Jordan,Henderson,61651
,Arthur Melo,362842
Jake,Cain,565420
Naby,Ke?ta,302215
Curtis,Jones,433188
Stefan,Bajcetic,864799
,Thiago,60444
Calvin,Ramsay,633652
Trent,Alexander-Arnold,314353
Luke,Chambers,670861
Konstantinos,Tsimikas,338070
Andrew,Robertson,234803
Jarell,Quansah,632349
Rhys,Williams,503679
Sepp,van den Berg,541231
Joe,Gomez,256178
Joel,Matip,82105
Nathaniel,Phillips,371814
Harvey,Davies,706815
,Adri?n,71271
Ibrahima,Konat?,357119
,Alisson,105470
Eddie,Nketiah,340324
Caoimh?n,Kelleher,340918
Amario,Cozier-Duberry,878150
Reiss,Nelson,340325
,Marquinhos,668268
Darwin,N??ez,546543
Virgil,van Dijk,139208
Charles,Sagoe Jr,796037
Bukayo,Saka,433177
Gabriel,Martinelli,655488
Ethan,Nwaneri,890719
Emile,Smith Rowe,392765
Martin,?degaard,316264
F?bio,Vieira,537598
,Gabriel Jesus,363205
Catalin,Cirjan,575219
Matt,Smith,528894
Albert Sambi,Lokonga,381967
Bradley,Ibrahim,871837
Harvey,Elliott,565822
Granit,Xhaka,111455
Thomas,Partey,230784
Takehiro,Tomiyasu,331560
Ben,White,335721
Lino,Sousa,743414
Kieran,Tierney,300716
Mohamed,Elneny,160438
Rob,Holding,253341
Auston,Trusty,389253
Gabriel,Magalh?es,435338
James,Hillson,503765
William,Saliba,495666
Karl,Hein,493513
Reuell,Walters,878160
Aaron,Ramsdale,427568
Matt,Turner,425306
Armando,Broja,571743
Christian,Pulisic,315779
Mauro,Bandeira,745846
Noni,Madueke,503987
Callum,Hudson-Odoi,392768
Mykhaylo,Mudryk,537860
Raheem,Sterling,134425
Harvey,Vale,581675
Mason,Mount,346483
Nicolas,P?p?,343052
Hakim,Ziyech,217111
Carney,Chukwuemeka,659459
Conor,Gallagher,488362
Mateo,Kovacic,51471
,Fabinho,225693
,Jorginho,102017
Omari,Hutchinson,741238
Abdul-Rahman,Baba,224884
Reece,James,472423
Marc,Cucurella,284857
Kai,Havertz,309400
Alfie,Gilchrist,790992
Ben,Chilwell,316125
Thiago,Silva,29241
,Jo?o F?lix,462250
Kalidou,Koulibaly,93128
Trevoh,Chalobah,346314
Beno?t,Badiashile,463603
Ethan,Wady,573132
Lucas,Bergstr?m,490606
Bashir,Humphreys,612517
Gabriel,Slonina,656316
Edouard,Mendy,442531
Kepa,Arrizabalaga,192279
C?sar,Azpilicueta,57500
Dan,Nlundulu,346482
Marcus,Bettinelli,116648
Lewis,Hall,670858
Paul,Onuachu,272855
Ch?,Adams,346779
Theo,Walcott,33713
Samuel,Amo-Ameyaw,933900
Nathan,Tella,340322
Samuel,Edozie,680806
Mislav,Orsic,119150
Oleksandr,Zinchenko,203853
Mohamed,Elyounoussi,186644
Kamaldeen,Sulemana,746695
Kami,Doyle,864480
S?kou,Mara,557612
Joe,Aribo,468198
Ainsley,Maitland-Niles,285845
Ryan,Finnigan,807318
N'Golo,Kant?,225083
Stuart,Armstrong,130765
Carlos,Alcaraz,748319
Will,Smallbone,444211
Oriol,Romeu,66100
Dom,Ballard,864496
Rom?o,Lavia,628451
Lewis,Payne,744131
James,Bree,324223
Yan,Valery,406008
Ibrahima,Diallo,413032
Adam,Armstrong,250426
Tino,Livramento,503981
Moussa,Djenepo,485424
James,Ward-Prowse,181579
Juan,Larios,646738
,Lyanco,379807
Mohammed,Salisu,563963
Duje,Caleta-Car,238266
Dynel,Simeu,503976
Armel,Bella-Kotchap,467563
Willy,Caballero,19948
Gavin,Bazunu,585550
Ruben,Loftus-Cheek,202886
Nico,Lawrence,989472
Romain,Perraud,318523
Alex,McCarthy,95976
Liam,Delap,610849
Kyle,Walker-Peters,341051
Diamond,Edwards,614261
John-Kymani,Gordon,659331
Luke,Plange,586986
Jordan,Ayew,108354
Odsonne,Edouard,344152
Malcolm,Ebiowei,512354
Michael,Olise,566723
Adler,Nascimento,879766
Wilfried,Zaha,145988
Eberechi,Eze,479999
Jeffrey,Schlupp,157506
Jack,Wells-Morrison,814811
Will,Hughes,207014
James,McArthur,41416
Kaden,Rodney,860078
David,Ozoh,865993
Cheick,Doucour?,543387
Naouirou,Ahamada,538971
Luka,Milivojevic,74300
Killian,Phillips,801420
Joel,Ward,92572
Tayo,Adaramola,724529
Nathaniel,Clyne,85177
Tyrick,Mitchell,730893
Kofi,Balmer,504518
James,Tomkins,61592
Chris,Richards,578539
Joachim,Andersen,260827
Marc,Gu?hi,392757
Owen,Goodman,814848
Nathan,Ferguson,507254
Joe,Whitworth,670840
Vicente,Guaita,64399
David,Boateng,634706
Jean-Philippe,Mateta,420002
Jairo,Riedewald,241481
Sam,Johnstone,110864
Juli?n,?lvarez,576024
Erling,Haaland,418560
Riyad,Mahrez,171424
Jack,Grealish,203460
Phil,Foden,406635
Nico,O'Reilly,743413
Cole,Palmer,568177
Kevin,De Bruyne,88755
Alex,Robertson,609887
Ilkay,G?ndogan,53622
Shea,Charles,747951
Claudio,Gomes,395239
M?ximo,Perrone,668547
Kalvin,Phillips,351749
,Rodri,357565
Rico,Lewis,701057
Jo?o,Cancelo,182712
Ben,Knight,568007
Benjamin,Mendy,157495
Sergio,G?mez,366930
Kyle,Walker,95424
Luke,Mbete,609883
Manuel,Akanji,284730
John,Stones,186590
Nathan,Ak?,177476
Bernardo,Silva,241641
Zack,Steffen,221624
Scott,Carson,14555
,Ederson,238223
R?ben,Dias,258004
Aymeric,Laporte,176553
Josh,Wilson-Esbrand,576121
Stefan,Ortega,85941
