FName,LName,TMID
Harvey,Elliott,565822
Dominik,Szoboszlai,451276
Trent,Alexander-Arnold,314353
Conor,Bradley,624258
Wataru,Endo,146310
Andrew,Robertson,234803
Konstantinos,Tsimikas,338070
Virgil,van Dijk,139208
Jarell,Quansah,632349
Caoimh?n,Kelleher,340918
Joe,Gomez,256178
Ibrahima,Konat?,357119
Vitezslav,Jaros,486604
,Richarlison,378710
Dominic,Solanke,258889
Brennan,Johnson,470607
Archie,Gray,922693
Wilson,Odobert,743498
Timo,Werner,170527
Lucas,Bergvall,866246
,Alisson,105470
Heung-min,Son,91845
Dejan,Kulusevski,431755
James,Maddison,294057
Pape Matar,Sarr,568693
Rodrigo,Bentancur,354362
Djed,Spence,483348
Sergio,Reguil?n,282429
Pedro,Porro,553875
Yves,Bissouma,410425
Destiny,Udogie,556385
Micky,van de Ven,557459
Ben,Davies,192765
Cristian,Romero,355915
Brandon,Austin,428016
Alfie,Whiteman,282823
Guglielmo,Vicario,286047
Radu,Dr?gu?in,568559
Joshua,Zirkzee,435648
Rasmus,H?jlund,610442
Ethan,Wheatley,888639
Amad,Diallo,536835
,Antony,602105
Fraser,Forster,52570
Alejandro,Garnacho,811779
Mason,Mount,346483
Daniel,Gore,747153
Bruno,Fernandes,240306
Christian,Eriksen,69633
Kobbie,Mainoo,820374
Toby,Collyer,654253
,Casemiro,16306
Manuel,Ugarte,476701
Noussair,Mazraoui,340456
Diogo,Dalot,357147
Victor,Lindel?f,184573
Tyrell,Malacia,339340
Jonny,Evans,42412
Luke,Shaw,183288
Harry,Maguire,177907
Lisandro,Mart?nez,480762
Tom,Heaton,34130
Altay,Bay?nd?r,336077
Leny,Yoro,923831
Yoane,Wissa,388165
Andr?,Onana,234509
Bryan,Mbeumo,413039
Matthijs,de Ligt,326031
Gustavo,Nunes,1086375
Mikkel,Damsgaard,540941
Keane,Lewis-Potter,644401
Yegor,Yarmolyuk,717411
F?bio,Carvalho,559263
Ryan,Trevitt,874538
Kevin,Schade,473050
Yunus Emre,Konak,1141628
Paris,Maghoma,470596
Josh,Dasilva,340321
Mathias,Jensen,319859
Vitaly,Janelt,270171
Mads,Roerslev,391005
Jayden,Meghoma,954104
Marcus,Rashford,258923
Christian,N?rgaard,148367
Ji-soo,Kim,709767
Aaron,Hickey,591949
Rico,Henry,339556
Ben,Mee,74810
Ethan,Pinnock,442248
Sepp,van den Berg,541231
Kristoffer,Ajer,328658
Nathan,Collins,469050
Matthew,Cox,741236
H?kon Rafn,Valdimarsson,488935
Niclas,F?llkrug,75489
Mark,Flekken,125714
,Luis Guilherme,991800
Jarrod,Bowen,314875
Crysencio,Summerville,474701
Andy,Irving,430310
Mohammed,Kudus,543499
Carlos,Soler,372246
,Lucas Paquet?,444523
Tomas,Soucek,283628
Guido,Rodr?guez,342385
Vladim?r,Coufal,157672
Aaron,Wan-Bissaka,477758
Edson,?lvarez,401356
Aaron,Cresswell,92571
Kaelan,Casey,845321
Max,Kilman,525247
Konstantinos,Mavropanos,415912
Lukasz,Fabianski,29692
,Emerson,181778
Jean-Clair,Todibo,605184
Wes,Foderingham,61697
Alphonse,Areola,120629
Isma?la,Sarr,410225
Daichi,Kamada,356141
,Matheus Fran?a,743597
Eberechi,Eze,479999
Jeffrey,Schlupp,157506
Jefferson,Lerma,262980
Will,Hughes,207014
Adam,Wharton,744149
Nathaniel,Clyne,85177
Cheick,Doucour?,543387
Joel,Ward,92572
Daniel,Mu?oz,493003
Rob,Holding,253341
Tyrick,Mitchell,730893
Chris,Richards,578539
Louie,Moulden,444641
Marc,Gu?hi,392757
Matt,Turner,425306
Chadi,Riad,689637
Maxence,Lacroix,434224
Trevoh,Chalobah,346314
Remi,Matthews,196722
Dean,Henderson,258919
William,Osula,609556
Callum,Wilson,123682
Alexander,Isak,349066
Jacob,Murphy,199527
Garang,Kuol,967948
Miguel,Almir?n,272999
Harvey,Barnes,398065
Lewis,Miley,922769
Anthony,Gordon,503733
Sean,Longstaff,346707
Joe,Willock,340329
,Joelinton,333241
Sandro,Tonali,397033
Emil,Krafth,184528
Isaac,Hayden,206225
Kieran,Trippier,95810
Tino,Livramento,503981
Bruno,Guimar?es,520624
Alex,Murphy,900601
Matt,Targett,250478
Dan,Burn,134270
Fabian,Sch?r,135343
Lewis,Hall,670858
Lloyd,Kelly,480116
John,Ruddy,29712
Jamaal,Lascelles,183318
Martin,D?bravka,74960
Sven,Botman,361093
Evan,Ferguson,648046
Mark,Gillespie,142389
,Jo?o Pedro,626724
Odysseas,Vlachodimos,124419
Solly,March,209212
Nick,Pope,192080
Simon,Adingra,658536
Brajan,Gruda,700106
Yankuba,Minteh,1012534
Yasin,Ayari,667287
James,Milner,3333
Julio,Enciso,660867
Kaoru,Mitoma,504849
Jakub,Moder,384461
Matt,O'Riley,406634
Jo?l,Veltman,111195
Imari,Samuels,565846
Tariq,Lamptey,504148
Mats,Wieffer,415381
Jack,Hinshelwood,867688
Carlos,Baleba,973085
Pervis,Estupi??n,349599
Lewis,Dunk,148153
Adam,Webster,212847
,Igor,380350
Ferdi,Kad?o?lu,369316
Jan Paul,van Hecke,576314
Jason,Steele,73564
Bart,Verbruggen,565093
