Leander Dendoncker,4,31,39,12,2,80,0,0,0,36,124,27,1,0,2,1,39
Moussa Diaby,12,69,298,470,136,824,70,29,37,568,3926,2013,43,39,33,30,620
Amad Diallo,8,28,94,110,24,231,23,11,10,146,1035,355,12,4,7,14,163
Amadou Diallo,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
R?ben Dias,231,1002,1600,282,34,2877,1,0,1,1996,10862,6693,70,1,10,7,2301
Luis D?az,10,94,529,858,219,1453,140,67,57,1017,7500,3690,77,70,69,72,1128
Eric Dier,38,106,57,2,2,164,0,0,0,97,291,119,0,0,1,0,112
Lucas Digne,71,468,541,593,56,1590,33,10,16,840,3630,1786,19,4,16,15,925
Issa Diop,168,669,568,24,7,1258,1,1,0,794,4396,2661,8,0,3,5,884
Axel Disasi,291,1193,1140,175,24,2496,22,12,5,1613,7182,4223,20,3,16,12,1892
Ben Doak,0,0,2,4,0,6,0,0,0,4,7,2,0,0,2,0,4
Lewis Dobbin,0,24,42,65,11,127,21,6,15,89,622,211,11,4,12,6,80
Matt Doherty,60,274,336,205,31,811,14,6,7,325,1293,597,8,3,17,6,481
Jeremy Doku,5,76,275,825,226,1161,169,87,64,879,7535,4884,61,147,52,37,937
Nicol?s Dom?nguez,39,266,542,248,33,1049,17,7,8,492,2030,1106,13,2,21,7,628
Jamie Donley,2,4,2,1,0,7,1,0,1,2,9,8,0,0,0,1,1
Abdoulaye Doucour?,36,188,523,495,100,1190,48,25,21,635,3292,1692,37,17,61,42,800
Cheick Doucour?,25,145,312,97,7,545,13,10,3,276,1153,579,9,1,16,8,318
Alfie Doughty,102,541,665,818,76,1998,67,33,24,897,5522,2794,52,28,51,13,968
Tommy Doyle,40,265,620,182,6,1061,3,1,1,637,3091,1408,17,2,7,7,766
Radu Dr?gu?in,44,217,189,7,2,411,3,1,1,284,1550,738,2,1,1,1,312
Martin D?bravka,604,702,7,0,0,709,0,0,0,378,2050,1374,0,0,3,0,260
Paul Dummett,3,7,16,3,1,26,0,0,0,12,54,33,0,0,0,0,20
Lewis Dunk,554,1811,1542,145,51,3481,8,5,2,2417,10752,5605,18,2,9,2,2681
Jhon Dur?n,8,22,90,80,27,189,5,2,3,102,508,206,5,5,16,14,138
George Earthy,0,3,7,8,1,18,0,0,0,13,48,13,1,0,0,0,15
Ederson,965,1263,20,0,0,1283,1,1,0,847,3714,2353,0,0,0,0,842
Odsonne ?douard,18,59,222,326,98,597,50,19,24,341,1762,877,18,25,55,26,415
John Egan,58,163,81,13,9,257,0,0,0,106,485,233,2,0,2,1,133
Hjalmar Ekdal,36,131,124,15,3,268,3,2,1,142,885,523,4,0,2,1,150
Anthony Elanga,25,181,348,507,122,1022,76,28,42,625,4704,2514,54,42,67,22,740
Harvey Elliott,8,91,546,512,71,1141,20,9,10,722,3946,1753,50,9,15,9,860
Mohamed Elneny,1,9,30,6,1,45,0,0,0,27,148,62,0,0,1,0,37
Emerson,103,462,517,249,12,1220,21,10,6,686,2759,1292,19,2,15,12,814
Julio Enciso,5,24,106,131,21,257,29,17,7,193,1299,839,20,7,15,8,202
Wataru Endo,48,295,1002,224,9,1514,16,10,5,890,3465,1523,21,2,27,22,1098
Christian Eriksen,27,165,492,246,12,896,6,3,3,515,2319,1199,21,2,8,14,620
Maxime Est?ve,158,465,463,52,8,979,3,1,0,514,2716,1664,18,2,5,3,600
Pervis Estupi??n,56,256,546,316,37,1109,23,9,9,693,3046,1806,30,13,20,6,735
Jonny Evans,185,556,420,31,8,1005,7,4,2,567,2683,1441,5,0,5,3,625
Eberechi Eze,11,121,522,658,103,1273,140,69,64,789,4822,2098,61,43,77,48,887
?ukasz Fabia?ski,222,255,5,0,0,260,0,0,0,140,822,585,0,0,0,0,94
Romain Faivre,1,3,15,19,3,37,7,2,3,24,215,121,4,0,3,1,31
Ansu Fati,4,27,141,135,43,300,18,5,9,212,1025,451,5,9,15,10,238
Felipe,22,133,116,9,4,257,2,1,1,147,692,361,1,0,3,1,156
Evan Ferguson,13,64,204,185,45,448,16,7,6,286,1299,414,9,5,40,31,336
Bruno Fernandes,96,414,1069,1126,105,2580,44,19,21,1367,6155,3408,61,23,48,35,1715
Enzo Fern?ndez,67,442,1209,488,47,2126,44,23,17,1315,6080,3109,46,8,29,24,1675
John Fleck,3,10,29,11,1,49,1,0,0,19,81,39,1,0,2,0,27
