Toti,6000000,
Darren Randolph,400000,
Craig Dawson,2000000,
Max Kilman,30000000,
Louie Moulden,200000,
Daniel Bentley,2000000,
Jos? S?,18000000,
Hugo Bueno,6000000,
Eddie Nketiah,25000000,
Gabriel Jesus,75000000,
Darwin N??ez,65000000,
Kaide Gordon,1500000,
Cody Gakpo,55000000,
Luis D?az,75000000,
Diogo Jota,50000000,
Mohamed Salah,65000000,
F?bio Carvalho,16000000,
Alexis Mac Allister,65000000,
Thiago Alc?ntara,15000000,
Harvey Elliott,35000000,
Calvin Ramsay,5000000,
Stefan Bajcetic,13000000,
Andrew Robertson,40000000,
Trent Alexander-Arnold,65000000,
Rhys Williams,2000000,
Konstantinos Tsimikas,18000000,
Nathaniel Phillips,4000000,
Joe Gomez,22000000,
Virgil van Dijk,35000000,
Caoimh?n Kelleher,12000000,
Alisson,35000000,
Ibrahima Konat?,38000000,
Adri?n,800000,
Joel Matip,12000000,
Reiss Nelson,12000000,
Leandro Trossard,35000000,
Bukayo Saka,120000000,
Emile Smith Rowe,35000000,
Kai Havertz,55000000,
F?bio Vieira,25000000,
Martin ?degaard,90000000,
Gabriel Martinelli,80000000,
Mohamed Elneny,6000000,
Thomas Partey,35000000,
Jorginho,25000000,
Kieran Tierney,25000000,
C?dric Soares,3000000,
Ben White,55000000,
Declan Rice,90000000,
Takehiro Tomiyasu,25000000,
Jakub Kiwior,25000000,
Oleksandr Zinchenko,42000000,
Gabriel Magalh?es,55000000,
David Raya,30000000,
Aaron Ramsdale,40000000,
William Saliba,65000000,
Sergio G?mez,13000000,
Kevin De Bruyne,70000000,
Phil Foden,110000000,
Erling Haaland,180000000,
Bernardo Silva,80000000,
Juli?n Alvarez,60000000,
Jack Grealish,75000000,
Mateo Kovacic,38000000,
M?ximo Perrone,10000000,
Kyle Walker,13000000,
Rodri,90000000,
Nathan Ak?,42000000,
John Stones,40000000,
Rico Lewis,20000000,
Scott Carson,200000,
Stefan Ortega,9000000,
Aymeric Laporte,25000000,
Manuel Akanji,38000000,
Ederson,40000000,
R?ben Dias,80000000,
Chermiti,3000000,
Rodrigo Ribeiro,3000000,
Brandon Aguilera,275000,
Odysseas Vlachodimos,16000000,
Bruno Jord?o,1300000,
Fod? Ballo-Tour?,3500000,
Destiny Udogie,25000000,
Guglielmo Vicario,16000000,
Rasmus H?jlund,45000000,
Sofyan Amrabat,30000000,
Andr? Onana,35000000,
Sandro Tonali,50000000,
Beto,25000000,
Igor,10000000,
Divock Origi,6000000,
Nicol?s Dom?nguez,17000000,
Ola Aina,3500000,
Bryan Gil,15000000,
Giovani Lo Celso,14000000,
Pau Torres,45000000,
Nicolas Jackson,30000000,
Sergio Reguil?n,10000000,
Ansu Fati,35000000,
Gonzalo Montiel,12000000,
Enes ?nal,25000000,
Justin Kluivert,14000000,
Matt Doherty,5000000,
Santiago Bueno,8000000,
Radu Dr?gu?in,8000000,
Arthur Okonkwo,2000000,
Daniel Mu?oz,9000000,
Simon Adingra,10000000,
Steven Alzate,4000000,
Bart Verbruggen,10000000,
Nicol? Zaniolo,27000000,
Altay Bay?nd?r,11000000,
Dele Alli,8000000,
Kevin Mbabu,3500000,
Taylor Harwood-Bellis,20000000,
Malcolm Ebiowei,3000000,
Adam Wharton,3500000,
Rodrigo Muniz,5000000,
Steven Benda,400000,
Tom Cannon,5000000,
Jamal Lowe,1500000,
Conor Coventry,1800000,
Ashley Phillips,2000000,
Jaden Philogene,2800000,
Morgan Rogers,1800000,
Tim Iroegbunam,5000000,
Kortney Hause,2200000,
Amad Diallo,18000000,
Hannibal,8000000,
?lvaro Carreras,7000000,
Isaac Hayden,3500000,
Jeff Hendrick,1500000,
Cesare Casadei,12000000,
Ian Maatsen,12000000,
Charlie Goode,600000,
Jo?o Pedro,32000000,
Josh Bowler,1800000,
Ethan Horvath,1500000,
Andrew Omobamidele,6000000,
Alex Scott,20000000,
Max Aarons,16000000,
Tommy Doyle,7000000,
Luke Cundle,3000000,
Ki-Jana Hoever,3500000,
Josh Wilson-Esbrand,1500000,
Zack Steffen,3500000,
Benjamin Fredrick,150000,
Matthew Cox,500000,
Devan Tanton,100000,
Teddy Sharman-Lowe,300000,
Samy Chouchane,250000,
John-Kymani Gordon,100000,
Marc Leonard,300000,
Ed Turns,350000,
Vitezslav Jaros,150000,
Jay Stansfield,1200000,
Jesurun Rak-Sakyi,1000000,
Dane Scarlett,1800000,
Joe Gauci,450000,
Joe White,250000,
Tyler Onyango,450000,
Lewis Warrington,500000,
Lewis Dobbin,900000,
Paris Maghoma,350000,
Myles Peart-Harris,700000,
Jensen Weir,450000,
Carl Rushworth,900000,
Chem Campbell,1000000,
Conor Bradley,1500000,
Jarell Quansah,400000,
