Mois?s Caicedo,100,50,41,47,12,40,68,28,7,36,56,31,3
Tom Cairney,17,6,4,8,5,7,10,3,3,15,5,3,0
Duje ?aleta-Car,14,10,9,4,1,6,9,3,11,4,15,65,1
Dominic Calvert-Lewin,4,2,1,0,3,1,5,4,1,4,3,18,0
Chem Campbell,2,1,1,1,0,0,1,1,0,2,1,0,0
Jo?o Cancelo,29,21,16,9,4,17,24,7,1,6,19,9,1
Thomas Cannon,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergi Can?s,0,0,0,0,0,0,2,2,1,2,0,1,0
Diego Carlos,1,0,0,1,0,0,1,1,2,0,1,2,0
Fabio Carvalho,8,8,3,3,2,3,6,3,0,6,6,0,0
Casemiro,88,46,43,35,10,47,92,45,11,38,34,64,0
Matty Cash,55,32,36,15,4,26,37,11,5,15,26,43,0
Timothy Castagne,87,44,53,27,7,41,84,43,13,37,43,110,0
Jonny Castro,33,15,22,10,1,17,38,21,5,21,14,28,2
Nathaniel Chalobah,1,1,1,0,0,1,1,0,0,0,0,2,0
Trevoh Chalobah,31,20,22,6,3,24,35,11,7,10,24,56,1
Calum Chambers,9,6,7,2,0,6,8,2,4,1,7,10,1
Shea Charles,4,0,4,0,0,1,1,0,0,0,1,2,0
Ben Chilwell,21,17,12,8,1,13,25,12,2,19,18,26,0
Ryan Christie,34,22,10,23,1,14,50,36,4,12,26,20,0
Carney Chukwuemeka,13,7,7,6,0,3,5,2,0,7,6,1,0
Bobby Clark,0,0,0,0,0,0,0,0,0,2,0,0,0
Nathaniel Clyne,27,16,13,9,5,14,23,9,4,18,19,34,0
Conor Coady,14,9,8,6,0,7,15,8,17,4,14,88,3
Jack Colback,18,13,12,6,0,5,8,3,0,3,3,9,0
S?amus Coleman,35,26,21,10,4,19,29,10,7,7,22,58,2
Nathan Collins,27,15,19,8,0,15,24,9,28,7,21,84,0
Levi Colwill,8,7,4,4,0,4,9,5,3,2,15,37,1
Lewis Cook,37,22,10,22,5,18,44,26,10,19,23,31,0
Steve Cook,8,4,4,4,0,5,7,2,11,5,12,51,0
Liam Cooper,38,23,27,9,2,23,36,13,8,8,34,57,3
Maxwel Cornet,7,3,5,0,2,4,6,2,0,6,2,3,0
Diego Costa,3,1,3,0,0,2,9,7,1,5,2,17,0
Vladim?r Coufal,58,31,37,15,6,36,51,15,6,18,38,70,0
Philippe Coutinho,19,14,8,8,3,9,15,6,1,10,4,2,0
Conor Coventry,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Craig,4,1,2,2,0,0,0,0,0,0,0,0,0
Aaron Cresswell,21,11,12,7,2,12,31,19,11,10,27,56,0
Marc Cucurella,66,33,40,15,11,30,60,30,8,20,16,48,1
Matheus Cunha,7,4,0,5,2,2,10,8,3,12,9,11,0
Patson Daka,14,8,6,8,0,3,13,10,2,12,7,7,0
Diogo Dalot,54,41,40,13,1,33,45,12,7,18,37,55,2
Mikkel Damsgaard,31,21,13,13,5,15,42,27,2,18,10,14,0
Danilo,18,7,7,9,2,6,25,19,6,20,9,19,0
Arnaut Danjuma,2,0,1,1,0,0,0,0,0,1,0,0,0
Josh Dasilva,18,9,6,6,6,6,16,10,6,16,5,7,1
David Datro Fofana,3,1,1,1,1,1,1,0,0,1,0,0,0
Ben Davies,28,11,13,13,2,14,26,12,8,9,18,72,0
Tom Davies,15,9,5,9,1,7,14,7,1,9,4,7,1
Craig Dawson,11,7,9,2,0,5,7,2,6,3,6,26,0
Craig Dawson1,9,6,6,3,0,4,7,3,23,8,12,74,2
Kevin De Bruyne,28,12,3,12,13,14,39,25,2,25,9,10,0
Siriki Demb?l?,3,1,2,1,0,0,1,1,0,1,1,1,0
Leander Dendoncker,19,9,11,6,2,11,22,11,4,15,10,12,0
Leander Dendoncker1,4,2,0,3,1,2,3,1,0,2,9,4,0
Emmanuel Dennis,17,11,5,5,7,8,18,10,1,12,2,6,0
Halil Dervi?o?lu,0,0,0,0,0,0,1,1,0,0,0,0,0
Kiernan Dewsbury-Hall,53,29,14,34,5,19,47,28,13,42,28,21,0
Ibrahima Diallo,25,15,14,10,1,8,14,6,1,10,6,11,0
R?ben Dias,21,13,10,10,1,11,18,7,13,8,18,56,1
Luis D?az,17,11,4,8,5,8,15,7,0,8,6,2,0
Eric Dier,30,19,16,12,2,9,19,10,24,17,35,112,2
Lucas Digne,30,12,20,9,1,20,33,13,5,13,18,45,0
Issa Diop,28,19,18,9,1,17,32,15,17,7,35,86,0
Moussa Djenepo,19,11,13,5,1,11,27,16,2,17,11,7,0
Ben Doak,3,2,1,2,0,1,1,0,0,1,0,0,0
Matt Doherty,16,10,12,3,1,8,10,2,6,5,8,14,1
Abdoulaye Doucour?,31,20,9,15,7,12,37,25,3,23,13,11,0
Cheick Doucour?,77,46,40,33,4,29,52,23,13,34,56,48,0
Flynn Downes,16,9,4,10,2,6,12,6,2,13,7,6,0
Kami Doyle,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Drameh,5,4,0,4,1,2,3,1,0,0,1,1,0
Martin D?bravka,0,0,0,0,0,0,1,1,0,0,0,1,0
Shane Duffy,0,0,0,0,0,0,0,0,0,0,0,0,1
