Miguel Britos,0,8,6,0,0,0,0,45,27,19
Leon Britton,0,7,1,0,0,0,0,19,0,4
Izzy Brown,0,3,3,1,0,0,0,17,13,23
Bruno,0,19,8,0,0,1,0,116,28,22
Chris Brunt,0,15,6,0,0,0,0,148,15,14
Oliver Burke,0,2,5,0,0,0,0,14,5,7
Jack Butland,0,0,3,0,0,0,1,55,6,0
Sam Byram,0,4,1,1,0,0,0,10,13,7
Willy Caballero,0,0,0,0,0,0,0,9,2,0
Yohan Cabaye,0,35,23,1,0,0,0,183,6,14
Gary Cahill,0,17,17,0,0,0,0,103,91,30
Dominic Calvert-Lewin,0,43,27,15,4,0,0,65,133,168
Geoff Cameron,0,16,7,0,0,1,0,89,39,31
Tyrese Campbell,0,0,0,1,0,0,0,1,2,4
Emre Can,0,27,27,0,1,0,0,196,45,49
?tienne Capoue,0,21,16,1,0,0,0,119,42,23
Michael Carrick,0,1,1,0,0,0,0,17,0,2
Andr? Carrillo,0,13,15,4,0,0,0,102,13,40
Guido Carrillo,0,7,2,1,0,0,0,17,32,60
Andy Carroll,1,28,14,6,0,0,0,24,74,48
Tom Carroll,0,23,17,1,0,0,0,139,10,21
Craig Cathcart,0,2,1,0,0,0,0,32,10,6
Petr ?ech,0,0,4,0,0,0,0,47,14,1
Nacer Chadli,0,1,0,0,0,0,0,15,1,2
Nathaniel Chalobah,0,3,7,1,0,0,0,36,10,5
Calum Chambers,0,10,5,0,0,1,0,71,28,29
Ben Chilwell,1,13,23,4,0,0,0,129,66,61
Hamza Choudhury,0,5,5,0,0,0,0,22,0,1
Andreas Christensen,0,8,13,1,0,0,0,139,55,26
Lee Chung-yong,0,1,2,0,0,0,0,7,2,4
Ciaran Clark,0,17,13,0,0,2,0,95,38,37
Tom Cleverley,1,33,26,1,0,0,0,151,24,42
Sam Clucas,0,10,14,3,0,0,0,110,36,36
Nathaniel Clyne,0,4,0,0,0,0,0,10,3,3
S?amus Coleman,0,3,13,0,0,0,0,53,14,11
James Collins,0,13,2,0,0,0,0,28,47,32
Lewis Cook,0,33,20,1,0,0,0,198,14,26
Steve Cook,0,22,19,1,0,0,1,138,132,68
Francis Coquelin,0,2,1,0,0,0,0,11,2,2
Jack Cork,0,23,54,1,0,0,0,244,51,78
Thibaut Courtois,0,2,3,0,0,2,0,37,2,1
Philippe Coutinho,0,5,21,4,0,0,0,60,1,7
Martin Cranie,0,0,0,0,0,0,0,9,2,2
Aaron Cresswell,0,20,15,3,0,0,0,149,57,47
Peter Crouch,0,40,11,14,0,0,0,40,243,122
Josh Cullen,0,0,0,0,0,0,0,1,0,0
Charlie Daniels,0,7,18,0,0,1,0,214,43,44
Danilo,0,12,10,0,0,0,0,65,16,6
Scott Dann,0,12,3,2,0,1,0,72,48,33
Karl Darlow,0,0,1,0,0,0,1,14,2,0
Matteo Darmian,0,5,1,0,0,0,0,17,6,6
Ben Davies,0,24,25,0,0,0,0,110,45,50
Tom Davies,0,38,43,3,0,0,0,110,18,34
Steven Davis,0,8,8,3,1,0,0,137,14,26
Craig Dawson,0,35,22,4,0,0,0,133,115,62
Kevin De Bruyne,0,30,33,2,1,0,0,207,14,16
Troy Deeney,0,24,17,16,0,0,0,52,132,182
Jermain Defoe,0,12,8,9,0,0,0,21,2,17
Steven Defour,0,13,7,0,0,0,0,156,5,12
Damien Delaney,0,0,0,0,0,0,0,6,0,4
Fabian Delph,0,15,18,0,0,0,0,149,20,31
Mousa Demb?l?,0,48,28,0,0,0,0,181,9,14
Laurent Depoitre,0,28,16,6,1,0,0,65,126,142
Mike van der Hoorn,0,22,18,0,0,1,0,96,55,43
Gerard Deulofeu,0,3,5,1,1,0,0,24,0,6
Fousseni Diabat?,0,1,14,1,0,0,0,33,14,11
Mohamed Diam?,0,44,16,0,0,0,0,141,57,55
Brahim D?az,0,1,4,0,0,0,0,8,0,3
Eric Dier,0,23,8,1,0,0,0,170,81,61
Abdoulaye Doucour?,0,44,26,2,0,1,0,345,42,51
Aleksandar Dragovi?,0,7,3,0,0,0,0,50,13,9
Danny Drinkwater,0,10,4,0,0,0,0,37,0,3
Martin D?bravka,0,0,2,0,0,0,0,11,2,0
Shane Duffy,0,33,25,7,1,1,0,162,192,89
Paul Dummett,0,8,11,0,0,1,0,73,54,34
Lewis Dunk,0,36,17,0,0,0,4,252,120,73
Nathan Dyer,0,17,20,1,0,0,0,82,5,26
Ederson,0,0,6,0,0,0,0,81,11,0
Tom Edwards,0,3,2,0,0,0,0,29,8,6
Rob Elliot,0,0,2,0,0,0,0,4,5,1
Mohamed Elneny,0,4,6,1,0,0,0,79,6,13
Christian Eriksen,0,14,21,1,0,0,0,227,17,27
Jonny Evans,0,26,27,0,0,0,1,142,54,34
