Lee Chung-yong,0,6,18,1,2,3,-0.42,2.5,0.7
Ciaran Clark,19,1,14,1.05,21,30,-0.52,22.5,30
Tom Cleverley,17,1,0,1.17,30,31,1.08,27.4,27.7
Sam Clucas,16,6,6,0.93,18,30,0.52,17.4,32.9
Nathaniel Clyne,1,1,2,0.67,0,1,-1.82,1.7,1.6
S?amus Coleman,11,0,0,1.75,14,12,0.78,13.4,12.4
James Collins,11,1,3,1.46,18,19,0.64,13.3,17
Lewis Cook,20,4,6,1.21,32,42,0.05,28,40.1
Steve Cook,29,3,3,1.15,37,53,-0.52,30.9,50.9
Francis Coquelin,0,6,12,2.14,2,6,-2.88,3.3,4.3
Jack Cork,38,0,0,1.42,36,39,0,32.3,51.2
Thibaut Courtois,35,0,0,1.89,56,34,-0.04,50.1,30.9
Philippe Coutinho,5,1,1,1.79,29,14,0.01,23.2,11.5
Martin Cranie,1,1,13,1,0,7,-2.86,1.3,4.8
Aaron Cresswell,30,1,1,1.14,45,60,0.84,34.5,47.8
Peter Crouch,10,17,4,0.77,18,27,0.65,20.4,31.8
Josh Cullen,0,2,12,2,0,0,0.53,0.1,0.3
Charlie Daniels,30,1,1,1.14,36,50,0.01,31.9,51.7
Danilo,11,10,13,2.48,40,11,-0.24,30.1,11.1
Scott Dann,15,1,2,0.82,16,26,-0.63,23.7,20.1
Karl Darlow,10,0,25,0.8,10,15,-0.39,10.9,15.9
Matteo Darmian,4,3,9,2.13,5,3,-0.74,4.5,6.1
Ben Davies,24,3,7,2,47,20,0.14,44.4,21.6
Tom Davies,8,13,2,1.42,27,24,1.15,22.3,25.9
Steven Davis,11,6,5,1,16,21,0.37,20.1,20.9
Craig Dawson,26,0,1,0.96,24,39,0.45,25.9,34.6
Kevin De Bruyne,22,1,1,2.62,93,22,0,69.8,19.2
Troy Deeney,13,9,1,0.97,24,28,0.72,26.4,23.9
Jermain Defoe,2,13,2,0.75,18,21,0.25,12.2,20.8
Steven Defour,12,0,0,1.42,18,17,0.3,15.9,28.6
Damien Delaney,1,1,8,0,0,5,-4.55,0.4,3.1
Fabian Delph,15,1,3,2.64,55,17,-0.23,42.4,11.4
Mousa Demb?l?,8,7,2,1.93,41,22,-0.2,36.2,21.2
Laurent Depoitre,15,15,2,0.82,14,34,-0.43,14.7,26.8
Mike van der Hoorn,16,0,13,1,17,27,0.63,18.4,31.2
Gerard Deulofeu,0,2,0,1.43,3,3,0.6,4.8,3.5
Fousseni Diabat?,1,9,1,0.93,11,12,-0.06,9.8,8.8
Mohamed Diam?,14,8,6,1.32,26,27,0.41,27.5,32.5
Brahim D?az,0,5,5,2.6,2,1,-0.45,1.1,0.9
Eric Dier,27,2,3,2.06,59,30,-0.43,53.8,26.5
Abdoulaye Doucour?,36,0,0,1.11,44,63,0.42,43.5,50.5
Aleksandar Dragovi?,6,4,18,1.09,10,14,-0.47,10.8,10
Danny Drinkwater,3,7,8,2.17,10,7,-0.14,9.3,5.1
Martin D?bravka,12,0,1,1.58,15,11,0.79,15.2,13.8
Shane Duffy,35,0,0,1,32,52,-0.55,35.1,48.2
Paul Dummett,17,1,2,1.3,19,18,0.5,21.3,24.6
Lewis Dunk,38,0,0,1.05,34,54,0,37,50.8
Nathan Dyer,3,8,7,1.08,12,21,0.19,13,22.3
Ederson,35,0,1,2.62,99,26,-0.33,74.7,22.1
Tom Edwards,4,0,6,0.67,6,15,-0.95,5.5,12
Rob Elliot,16,0,6,1.06,14,21,-0.39,15.6,22.8
Mohamed Elneny,5,2,11,1.92,18,12,0.02,16.8,12.2
Christian Eriksen,29,0,0,2.05,71,33,1.06,62.2,31.8
Jonny Evans,22,2,1,0.61,21,38,-0.05,26.5,30.8
Patrice Evra,1,2,7,0.8,3,10,-2.4,1,6.7
?ukasz Fabia?ski,38,0,0,0.87,28,56,0,31.6,58.6
Cesc F?bregas,15,7,4,1.72,40,26,-0.26,37.9,22.8
Marouane Fellaini,4,11,0,2.44,19,1,1.65,13.8,7.4
Kiko Femen?a,13,4,1,1.17,27,34,0.32,23.4,28
Leroy Fer,10,5,4,0.8,12,26,-0.28,13.3,25.2
Edimilson Fernandes,3,5,5,0.86,11,20,-0.57,7,18.2
Federico Fern?ndez,29,0,4,0.93,24,44,0.3,23,47
Fernandinho,28,1,0,2.59,89,24,-0.31,66.2,19.6
Sam Field,1,3,7,0.91,5,7,0.38,5.9,6.5
Roberto Firmino,12,5,1,2,73,32,0.65,61.2,28.5
Darren Fletcher,19,2,8,1.07,26,49,-0.18,25.2,39.5
Phil Foden,0,5,8,3,4,1,3.48,2.1,0.2
Jos? Fonte,6,0,5,1.13,9,11,0.33,7.3,8.7
Fraser Forster,20,0,18,0.95,20,30,0,23.7,25.3
Ben Foster,37,0,0,0.81,30,55,-0.68,36.3,46.6
Timothy Fosu-Mensah,15,4,9,0.81,12,29,-1.3,26.4,24.6
Simon Francis,28,1,0,1.22,36,47,0.26,32.6,48
Ryan Fraser,15,3,9,1.12,25,38,-0.39,23,32.2
Christian Fuchs,20,4,11,1.28,34,35,0.13,28,29.1
Jay Fulton,0,2,3,1,0,0,0.74,0,0.4
Ramiro Funes Mori,0,3,3,1.25,2,2,0.38,1.3,1.8
Manolo Gabbiadini,3,17,10,0.86,13,17,0.24,12.4,13.5
Jes?s G?mez,1,1,9,1.5,1,0,1.16,1.3,1.2
Idrissa Gana Gueye,24,1,1,1.33,38,42,1.21,32.1,40.1
Dwight Gayle,8,12,1,1.06,19,31,-0.8,23.2,32.1
Paulo Gazzaniga,1,0,1,3,1,0,0,0.9,0.8
David de Gea,37,0,0,2.11,67,28,0.05,55.3,40.1
Kieran Gibbs,27,1,0,0.73,23,44,-0.06,31.2,39.8
