Daryl Janmaat,750,1041,12214,5462,416,470,237,355,79,173,1.3,12,83,29,15
Vincent Janssen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jes?,118,162,1739,363,68,80,32,45,9,14,0.7,9,7,6,0
Gabriel Jesus,474,596,5662,806,302,364,100,126,12,16,2.2,18,17,19,0
Glen Johnson,159,242,3160,1662,67,77,63,91,25,59,0.5,4,18,9,2
Phil Jones,991,1090,18639,5304,313,336,546,576,99,135,0.1,2,37,1,0
Joselu,374,605,4732,1099,259,377,82,153,13,23,0.5,16,34,6,1
Mathias J?rgensen,1206,1576,23654,9558,407,472,607,725,162,317,1.1,9,95,2,0
Christian Kabasele,677,910,13472,6282,227,278,352,425,88,180,0.3,3,46,5,0
Youn?s Kaboul,52,76,1247,528,14,19,25,31,13,24,0,0,9,0,0
Elias Kachunga,231,368,2834,483,163,212,54,89,5,17,0.5,10,6,6,1
Sullay Kaikai,4,8,60,18,3,4,0,3,1,1,0,0,0,0,0
Harry Kane,477,696,8715,2185,231,301,153,216,71,109,2.4,32,53,24,2
N'Golo Kant?,1924,2174,30572,8032,975,1041,737,798,132,187,3.2,40,195,35,2
Loris Karius,455,630,11925,9119,68,68,264,265,123,293,0,0,3,0,0
Orestis Karnezis,198,404,8667,7762,5,5,50,51,143,348,0,0,8,0,0
Beram Kayal,182,235,2904,800,89,103,72,88,13,26,0.6,11,16,4,2
Michael Keane,905,1170,19215,7605,270,330,481,552,149,258,0.4,4,76,4,0
Martin Kelly,284,394,5365,2459,124,142,121,151,35,87,0.2,2,19,0,0
Kenedy,297,408,4218,1296,174,208,84,119,20,41,1.8,13,14,12,6
Jonjoe Kenny,576,849,9944,4622,306,352,187,272,71,168,1.3,10,54,12,10
Andy King,167,221,2628,676,76,93,66,81,12,25,0.1,2,17,0,0
Andy King1,296,359,5218,1314,132,145,125,148,28,50,0.5,4,35,5,2
Joshua King,514,730,7926,1895,275,363,197,272,25,42,3.6,38,48,34,4
Davy Klaassen,80,103,1223,282,39,47,32,40,4,5,0.1,2,5,2,0
Ragnar Klavan,1097,1218,21335,7588,331,353,659,697,95,143,0.6,4,61,6,0
Anthony Knockaert,851,1103,12977,3196,475,544,270,337,61,126,3.1,32,45,30,5
Sead Kola?inac,1203,1515,17835,5821,648,753,469,576,40,86,3.3,19,69,19,6
Vincent Kompany,1327,1434,24734,8914,506,534,671,709,129,164,0.6,4,94,2,0
Terence Kongolo,263,390,4459,2277,128,157,110,154,17,51,0.3,3,32,3,2
Laurent Koscielny,1563,1765,31024,12028,523,574,841,910,185,241,0.7,7,137,3,0
Cheikhou Kouyat?,734,982,10437,2762,423,521,240,315,33,66,0.6,16,56,7,3
Bojan Krki?,22,27,358,69,13,16,5,6,3,3,0,1,1,0,0
Grzegorz Krychowiak,641,831,11378,3332,301,354,248,303,70,122,1.1,13,76,9,1
Rajiv van La Parra,517,725,7433,1525,298,362,169,232,24,55,1.2,14,20,15,6
Alexandre Lacazette,558,744,6693,1185,369,450,120,170,13,25,4,36,18,31,3
Freddie Ladapo,5,9,42,10,5,8,0,1,0,0,0,0,0,0,0
Adam Lallana,192,229,2309,705,126,136,46,54,3,11,0.6,7,18,11,2
?rik Lamela,379,477,5766,1209,205,234,137,165,25,43,1.6,16,32,17,0
Manuel Lanzini,1085,1309,16247,4292,608,672,356,422,70,137,3,40,104,35,3
Aymeric Laporte,762,826,13329,4972,337,354,346,366,61,81,0.3,2,54,3,1
Jamaal Lascelles,918,1195,17019,7376,346,393,448,545,100,204,0.8,6,59,4,0
Florian Lejeune,826,1082,17237,7245,282,321,391,468,134,253,1.3,7,66,1,0
Mario Lemina,857,987,14283,3476,414,457,335,372,80,120,0.7,8,68,6,1
Aaron Lennon,202,305,2883,729,121,153,62,89,10,21,1.3,7,14,13,5
Aaron Lennon1,146,219,2086,558,92,122,45,60,6,11,0.3,4,6,3,0
Victor Lindel?f,707,780,11923,4239,310,328,328,361,52,66,0.3,2,33,1,0
Jesse Lingard,841,996,10354,2219,493,546,198,234,33,61,2.6,26,68,19,1
Jake Livermore,878,1133,15708,4533,374,443,372,449,106,169,1.8,20,108,8,3
Fernando Llorente,60,88,683,107,42,57,15,25,0,2,0.1,4,2,2,0
Hugo Lloris,916,1167,26371,18330,75,76,526,528,315,561,0,0,9,1,0
J?rgen Locadia,38,55,697,140,18,23,9,15,8,9,0,1,4,0,0
Ruben Loftus-Cheek,603,745,8326,2630,364,424,168,199,31,47,2.6,25,64,25,2
Joe Lolley,52,73,805,267,28,35,21,28,1,7,0.1,1,9,1,1
Kevin Long,389,546,8719,3177,99,134,195,245,88,149,1.2,6,23,0,0
Shane Long,271,419,3471,585,173,229,64,111,10,21,1.4,20,11,9,3
Ademola Lookman,38,47,514,127,19,23,13,14,2,3,0,2,2,0,0
Jonas L?ssl,825,1390,32620,27387,40,40,285,288,500,1058,0.1,3,50,2,0
Dejan Lovren,1602,1814,31489,11482,468,497,969,1053,154,242,0.5,6,97,9,2
Chris L?we,601,868,10650,4207,274,316,249,341,67,161,0.5,5,46,8,5
Matthew Lowton,779,1165,14940,5994,317,374,335,467,113,267,1.3,14,78,20,11
David Luiz,420,495,8848,2964,124,135,209,227,78,116,0.1,1,37,3,0
Romelu Lukaku,502,763,6310,1511,282,377,118,207,27,44,3.8,33,33,33,5
Dodi Lukebakio,7,8,118,55,2,2,4,4,0,1,0,2,2,1,1
Levi Lumeka,5,11,41,9,5,6,0,1,0,2,0,0,1,0,0
Harry Maguire,1379,1781,28888,11021,448,539,660,769,240,407,2.2,18,128,8,1
Riyad Mahrez,1088,1485,19045,6041,553,647,326,436,150,267,7,57,122,50,8
Ainsley Maitland-Niles,530,640,8182,2475,290,321,178,215,42,59,1.4,8,37,14,4
Scott Malone,492,708,8982,3413,209,257,211,284,60,120,0.5,10,32,10,3
Sadio Man?,787,1005,11585,2403,440,528,276,327,38,61,4.9,48,55,56,5
Eliaquim Mangala,60,72,1299,433,11,14,43,47,6,9,0,0,4,0,0
Eliaquim Mangala1,316,346,5253,1824,138,143,166,173,9,21,0,1,10,0,0
Javier Manquillo,561,766,8676,3549,306,363,202,278,36,78,0.5,11,35,7,5
Solly March,516,756,8609,2396,255,309,173,241,59,119,1.8,18,33,19,9
Adrian Mariappa,774,1028,13905,6028,342,395,343,432,77,161,0.3,4,50,3,0
Jo?o M?rio,373,497,5621,1341,212,245,107,132,34,73,1.1,16,22,9,2
Anthony Martial,613,789,7580,1899,374,431,155,193,18,43,4.6,33,35,27,2
Cuco Martina,792,1040,12947,5506,410,450,289,385,72,158,1.7,13,50,23,14
Bruno Martins Indi,290,366,5879,2046,98,111,150,181,41,67,0.1,3,25,3,3
Arthur Masuaku,668,930,10657,3590,353,407,247,343,50,115,1.3,17,39,16,10
Juan Mata,1098,1345,16341,3673,585,645,311,392,98,160,4.5,51,74,33,13
Nemanja Mati?,2299,2647,40993,11705,974,1068,959,1042,269,356,2.2,24,220,23,1
Jo?l Matip,1470,1660,30063,11508,380,403,892,970,185,265,0.8,5,94,2,0
Konstantinos Mavropanos,91,103,1645,602,36,38,45,48,8,12,0,0,6,0,0
Alfie Mawson,1420,1755,31280,11208,407,462,732,847,268,403,0.6,5,87,5,1
Eric Maxim Choupo-Moting,477,688,6566,1710,272,346,140,191,26,51,2.5,20,28,18,4
Chancel Mbemba,202,276,3454,1490,102,120,81,107,18,39,0.5,4,11,6,4
James McArthur,854,1093,13032,3373,445,523,323,391,48,98,1.6,21,90,13,1
Gareth McAuley,85,130,1995,1107,24,31,36,47,24,44,0,0,16,2,0
Oliver McBurnie,68,103,777,116,46,62,11,22,2,3,0.5,1,3,2,0
Alex McCarthy,212,462,8168,7016,24,25,69,69,119,368,0,0,5,0,0
James McCarthy,73,101,1160,247,37,49,29,34,4,12,0,1,7,1,0
James McClean,288,462,4418,1011,163,201,87,131,25,76,1.4,18,12,21,18
Sam McQueen,54,77,615,259,40,49,10,16,1,6,0,3,4,1,0
Scott McTominay,302,347,4914,1409,140,152,122,129,23,36,0.2,2,37,4,0
Ben Mee,823,1086,17554,7677,269,303,386,471,160,281,0.4,6,58,4,0
Benjamin Mendy,209,272,3437,932,110,126,76,100,18,27,0.6,9,20,11,5
Mikel Merino,645,818,10947,3524,281,342,268,314,61,105,0.7,16,84,14,0
Per Mertesacker,226,247,4270,1894,72,74,134,146,17,22,0,0,6,0,0
Roque Mesa,422,489,7233,1664,202,220,168,194,43,53,0.3,5,21,3,0
Simon Mignolet,447,601,11461,8759,79,79,260,261,108,258,0,0,6,0,0
Luka Milivojevi?,1343,1701,25224,8439,541,626,593,701,175,294,1.5,21,173,17,2
