s,s,valu_millions
Shani Tarashaj,2000000,2
Shinji Okazaki,6000000,6
Shkodran Mustafi,25000000,25
Simon Francis,2500000,2.5
Simon Mignolet,10000000,10
Sokratis Papastathopoulos,20000000,20
Solly March,5000000,5
Stephan Lichtsteiner,1500000,1.5
Steve Cook,7000000,7
Steve Mouni?,10000000,10
Stuart Armstrong,7000000,7
Sung-yueng Ki,7000000,7
Takuma Asano,2000000,2
Tammy Abraham,10000000,10
Terence Kongolo,10000000,10
Theo Walcott,20000000,20
Timothy Fosu-Mensah,7000000,7
Toby Alderweireld,40000000,40
Tom Davies,15000000,15
Tomer Hemed,2500000,2.5
Tommy Smith,3000000,3
Trent Alexander-Arnold,25000000,25
Tudor Baluta,900000,0.9
Tyrone Mings,4000000,4
Vicente Guaita,5000000,5
Victor Lindel?f,25000000,25
Victor Wanyama,30000000,30
Vincent Janssen,9000000,9
Vincent Kompany,10000000,10
Virgil van Dijk,50000000,50
Wayne Hennessey,4000000,4
Wes Morgan,3000000,3
Wilfred Ndidi,25000000,25
Wilfried Zaha,30000000,30
Willian,32000000,32
Willy Caballero,1000000,1
Winston Reid,7000000,7
Xande Silva,200000,0.2
Xherdan Shaqiri,18000000,18
Yannick Bolasie,18000000,18
Yerry Mina,9000000,9
Yoshinori Muto,6000000,6
Yves Bissouma,8000000,8
Zanka,5000000,5
