,0,1,2018,2019,2020,2021,2022,2023
96,Divock Origi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/148368,,20,16,12,12,
97,Ben Woodburn,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/344015,5,5,,2,,
98,Curtis Jones,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/433188,,,5,30,28,25
99,Danny Ward,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/203026,2.5,8,6.5,6,6,6
100,C??sar Azpilicueta,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/57500,40,35,24,13,9,5
101,Thibaut Courtois,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/108390,65,,,,,
102,N'Golo Kant??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/225083,80,100,80,55,40,15
103,Marcos Alonso,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/112515,40,40,18,12,12,
104,Eden Hazard,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/50202,120,150,,,,
105,Antonio R?¨diger,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/86202,40,50,40,28,40,
106,Cesc F?ˇbregas,https://www.transfermarkt.com/cesc-fabregas/marktwertverlauf/spieler/8806,30,,,,,
107,Victor Moses,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/59866,20,,,,,
108,Tiemou?? Bakayoko,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/182618,40,,,,,
109,Gary Cahill,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/27511,15,8,4,1.5,0.4,
110,?Ålvaro Morata,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/128223,65,,,,,
111,Andreas Christensen,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/196948,40,30,24,30,35,
112,Willian,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/52769,38,40,22.5,9,3,
113,Pedro,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/65278,25,20,9.5,,,
114,Davide Zappacosta,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/173859,20,15,,,,
115,David Luiz,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/46741,25,20,8,4,,
116,Olivier Giroud,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/82442,18,15,7,4,,
117,Danny Drinkwater,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/73491,20,8,,,,
118,Michy Batshuayi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/179184,,,14,10,,
119,Emerson Palmieri,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/181778,,15,24,12,,12
120,Ross Barkley,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/131978,,30,21.5,20,12,
