,0,1,2018,2019,2020,2021,2022,2023
480,Mame Biram Diouf,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/62049,7,3,1.2,,,
481,Ryan Shawcross,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/45861,10,5,2,,,
482,Eric Maxim Choupo-Moting,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/45660,8,,,,,
483,Darren Fletcher,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/3547,2,1,,,,
484,Geoff Cameron,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/31642,2.5,1.5,,,,
485,Moritz Bauer,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/159692,5,,,,,
486,Peter Crouch,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/4072,1,1,,,,
487,Bruno Martins Indi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/112052,10,6.5,3.5,,,
488,Badou Ndiaye,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/211325,15,6,,,,
489,Ramadan Sobhi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/312017,7,5,,,,
490,Jes??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/134936,7.5,,,,,
491,Glen Johnson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/3881,2.5,,,,,
492,Tom Edwards,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/430788,1,3,1.8,,,1.2
493,Charlie Adam,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/28990,2.5,1,,,,
494,Kostas Stafylidis,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/148967,3.5,,,,,
495,Saido Berahino,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/128897,8,5,,,,
496,Lee Grant,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/13460,1,0.75,0.6,0.25,0.25,
497,Josh Tymon,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/419929,1.5,1,0.9,1.5,1.8,3
498,Ibrahim Afellay,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/15760,1.5,,,,,
499,Stephen Ireland,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/34838,1,,,,,
500,Bojan Krkié?,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/44675,1.5,,,,,
501,Tyrese Campbell,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/382554,,0.15,3.2,6,4,3
502,Jakob Haugaard,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/138335,0.5,0.35,,,,
503,Harry Souttar,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/298091,,,,4,5,15
504,Ahmed Hegazi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/111524,5,6,3.5,,,
505,Ben Foster,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/13572,3,3,1.2,0.3,0.3,
506,Kieran Gibbs,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/44792,8,6,3.2,2.5,,
507,Salom??n Rond??n,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/80197,13,15,,,2.5,
508,Jay Rodriguez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/53360,12,10,6,4,2,1
509,Jake Livermore,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/61832,9,7,5.5,2.5,1.5,0.5
510,Craig Dawson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/121477,8,6,4.8,3,3,2
511,Jonny Evans,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/42412,15,10,12,7,4,2
512,Allan Nyom,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/111508,4.5,,,,,
513,Matt Phillips,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/77274,9,7,5.5,4,1.5,0.8
514,Gareth Barry,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/3291,1,0.75,0.325,,,
515,Chris Brunt,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/36814,3,1.5,0.6,,,
516,Grzegorz Krychowiak,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/45184,18,,,,,
517,James McClean,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/85935,3,5,3.2,1.5,,
518,Claudio Yacob,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/45330,3.5,2,,,,
519,Hal Robson-Kanu,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/65976,2.5,2,2.4,1.5,,
520,Sam Field,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/387331,1.5,1.5,,1,,
521,Gareth McAuley,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/40567,1,,,,,
522,Oliver Burke,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/341317,10,,,6,,
523,Nacer Chadli,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/59631,15,,,,,
524,James Morrison,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/27614,4,1.5,,,,
525,Boaz Myhill,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/3838,1,0.35,,,,
526,Rekeem Harper,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/456877,,2.5,2.3,2.5,,
527,Nathan Ferguson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/507254,,,4,4,2.5,1.2
528,Ali Gabr,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/122980,1.5,,,,,
529,Jonathan Leko,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/314266,1.5,1,1.3,,,
530,Alex Palmer,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/245625,,,,0.25,0.3,0.9
531,Rayhaan Tulloch,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/433184,,,,,0.2,
532,Alisson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/105470,,80,72,60,50,35
533,Fabinho,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/225693,,50,56,60,60,42
534,Naby Ke??ta,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/302215,,60,40,32,25,12
535,Jorginho,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/102017,,65,52,45,40,25
536,Kepa Arrizabalaga,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/192279,,60,28,13,10,18
537,Mateo Kovaéçié?,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/51471,,35,40,45,42,38
538,Gonzalo Higua??n,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/39153,,35,,,,
539,Marc Gu??hi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/392757,,,2.7,10,32,35
540,Oliver Skipp,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/406638,,5,7.2,10,18,15
541,Bernd Leno,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/72476,,30,28,22,9,12
542,Sokratis Papastathopoulos,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/34322,,20,8,,,
543,Lucas Torreira,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/318077,,55,30,,,
544,Matt??o Guendouzi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/465830,,35,32,,,
545,Carl Jenkinson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/126321,,2,1.2,0.6,,
546,Denis Su?≠rez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/165007,,12,,,,
547,Bukayo Saka,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/433177,,,35,65,65,120
548,Emiliano Mart??nez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/111873,,2,8,35,28,28
549,Emile Smith Rowe,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/392765,,4,2.7,18,40,35
550,Fred,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/191614,,30,17.5,22,20,20
551,Diogo Dalot,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/357147,,20,12,,20,40
552,Andreas Pereira,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/203394,,10,16,,,18
553,Mason Greenwood,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/532826,,7,45,50,0,
554,Tahith Chong,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/344830,,7,6.3,,,
555,Angel Gomes,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/392770,,4,3.6,,,
556,James Garner,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/505219,,,2.7,4,7,16
557,Conor Coady,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/128901,,10,18,25,25,12
558,Rui Patr??cio,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/45026,,20,16,10,,
559,Willy Boly,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/142310,,12,14.5,14,6,2.5
560,Ra?ßl Jim??nez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/206040,,35,40,28,18,6
561,Matt Doherty,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/171679,,15,16,16,12,5
562,Jo?úo Moutinho,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/29364,,10,8,4,2.5,1.5
563,Ryan Bennett,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/67252,,7,4,2,1,
564,R?ßben Neves,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/225161,,45,50,45,40,40
565,Jonny Castro,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/175446,,20,16,15,15,13
566,Diogo Jota,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/340950,,35,28,45,60,50
567,Leander Dendoncker,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/168157,,18,28,30,28,15
568,H??lder Costa,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/173900,,15,8,10,,
569,Romain Sa??ss,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/204198,,5,8,10,8,
570,Adama Traor??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/204103,,15,35,30,20,10
571,R?ßben Vinagre,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/357158,,7,9,,,4
572,Ivan Cavaleiro,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/149716,,10,8,7,3,
573,Morgan Gibbs-White,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/429014,,8,7.2,7,11,40
574,John Ruddy,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/29712,,3,2,0.8,0.3,
575,L??o Bonatini,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/181781,,4,,,,
576,Max Kilman,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/525247,,,0.8,4.5,16,30
577,Will Norris,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/285033,,,0.25,0.4,0.3,0.35
578,Bright Enobakhare,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/345772,,,0.45,,,
579,Kortney Hause,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/233124,,1,6.5,5,4,2.2
580,Lucas Digne,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/126664,,30,28,35,25,15
581,Bernard,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/175169,,20,16,12,,
582,Andr?? Gomes,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/221025,,28,22.5,20,18,
583,Yerry Mina,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/289446,,25,20,20,20,10
584,Kieran Dowell,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/258916,,3,,3,2.5,2
585,Ricardo Pereira,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/215876,,25,32,30,20,10
586,James Maddison,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/294057,22,40,55,55,50,60
587,Nampalys Mendy,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/111051,,8,5.5,8,4,2.5
588,Youri Tielemans,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/249565,,38,44,55,55,25
589,Rachid Ghezzal,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/118287,,8,,,,
590,??aé?lar S??y?¨nc?¨,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/320141,,15,40,45,40,15
591,Felipe Anderson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/159372,,40,32,25,,
592,Issa Diop,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/272622,,35,28,18,10,18
593,Robert Snodgrass,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/22614,,7,4.8,1.5,0.5,
594,Fabi?≠n Balbuena,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/285548,,12,9.5,5,,
595,Ryan Fredericks,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/140191,,5,4,2.5,1.5,1.5
596,Andriy Yarmolenko,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/69015,,20,9.5,4,2.5,
597,Lucas P??rez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/73185,,4,,,,
598,Samir Nasri,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/18935,,5,,,,
599,Carlos S?≠nchez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/51226,,1.5,1.2,0.3,,
600,Xande Silva,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/258011,,,0.8,,0.5,
601,Conor Coventry,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/419025,,,,0.2,0.5,1.8
602,Adam Masina,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/286949,,7,5.5,4.5,3,
603,Ken Sema,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/252345,,3.5,,4.5,2.5,2.5
604,Marc Navarro,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/335245,,2,,0.8,,
605,Ben Wilmot,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/467599,,,1.8,2.5,3,6
606,Adalberto Pe?Òaranda,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/308801,,2,1,0.4,,
607,Vicente Guaita,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/64399,,5,4,2,1.5,1
608,Max Meyer,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/146164,,15,8,1.5,,
609,Connor Wickham,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/95435,,3,1.2,1,,
610,Fabian Sch??r,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/135343,,8,13,9,7,10
611,Miguel Almir??n,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/272999,,20,16,17.5,16,32
612,Sean Longstaff,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/346707,,7,17.5,15,13,25
613,Yoshinori Mutèç,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/230541,,9,5.5,,,
614,Antonio Barreca,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/241889,,7,,,,
615,Jefferson Lerma,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/262980,,25,20,15,15,20
616,David Brooks,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/277033,,30,20,16,16,12
617,Chris Mepham,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/480987,,13,8,6,4,8
618,Diego Rico,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/249513,,9,8,4.5,,
619,Mark Travers,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/357658,,0.25,0.25,0.5,2.5,2
620,Sam Surridge,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/398402,,,0.45,1.8,2,5
621,Nnamdi Ofoborh,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/611906,,0.15,0.25,0.4,,
622,Dwight McNeil,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/584769,,15,25,22,18,20
623,Maté?j Vydra,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/101500,,8,4,3,2,
624,Ben Gibson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/128904,,10,4.5,7,6,2
625,Josh Benson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/397102,,,,0.4,,
626,Anthony Driscoll-Glennon,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/503683,,,,0.25,,
627,Jannik Vestergaard,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/99331,,20,12,18,13,4
628,Yan Valery,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/406008,,7,6.3,3,2.5,
629,Stuart Armstrong,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/130765,,8,6.5,8,6,4.5
630,Angus Gunn,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/201574,,10,5,3,3,2.5
631,Mohamed Elyounoussi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/186644,,15,,,12,9
632,Sam Gallagher,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/227183,,3,,,,
633,Mart??n Montoya,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/68645,,8,6.5,,,
634,Bernardo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/364258,,9,4.8,,,
635,Yves Bissouma,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/410425,,15,9.5,25,35,18
636,Alireza Jahanbakhsh,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/213268,,15,6.5,5,,
637,Florin Andone,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/177065,,6,,2,,
638,Leon Balogun,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/56100,,2,,,,
639,David Button,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/61814,,1.5,1.2,1,0.5,0.25
640,Dan Burn,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/134270,,3,4,5,12,10
641,Viktor Gy??keres,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/325443,,,1,1,,
642,Jason Steele,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/73564,,0.75,0.6,0.8,0.6,4
643,Ben White,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/335721,,,5.5,28,40,55
644,Neil Etheridge,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/61694,,8,2.4,,,
645,Bruno Ecuele Manga,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/60990,,3,,,,
646,Sean Morrison,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/79723,,5,4,5,2.5,
647,V??ctor Camarasa,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/263856,,10,,,,
648,Joe Bennett,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/90964,,3,2.4,1.5,,
649,Sol Bamba,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/28984,,1,0.4,0.25,,
650,Junior Hoilett,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/58993,,4.5,2.8,1,,
651,Joe Ralls,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/195680,,5,3.2,3,2,1.8
652,Josh Murphy,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/199528,,10,5.5,3,,
653,Callum Paterson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/169555,,5,2.8,,,
654,Lee Peltier,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/38094,,1.5,0.8,0.4,,
655,Bobby Reid,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/186186,,10,8,10,7,7
656,Nathaniel Mendez-Laing,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/125409,,3,2.4,,,
657,Kenneth Zohore,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/135213,,7,4,2,1.2,
658,Greg Cunningham,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/114093,,3,1.6,,,
659,Leandro Bacuna,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/126014,,3,2.4,3,1.8,0.9
660,Kadeem Harris,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/136501,,0.75,,,,
661,Jazz Richards,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/120241,,0.75,0.6,,,
662,Rhys Healey,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/238185,,0.25,,,,
663,Gary Madine,https://www.transfermarkt.com/xx-xx/profil/spieler/66994,,4,,,,
664,Lo??c Damour,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/81190,,0.75,,,,
665,Matthew Connolly,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/34559,,0.75,0.4,,,
666,Alex Smithies,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/33754,,3.5,2.4,1.8,0.8,0.5
667,Sergio Rico,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/207302,,12,,,,
668,Denis Odoi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/59641,,2.5,1.6,0.6,,
669,Joe Bryan,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/194460,,6,5.5,5,3,
670,Jean Seri,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/178614,,25,,4,5,
671,Ryan Sessegnon,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/392775,,35,25,,18,18
672,Maxime Le Marchand,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/60558,,5,1.6,,,
673,Tim Ream,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/145466,,4,1.2,0.6,0.5,1
674,Tom Cairney,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/123275,,15,12,9,5,2
675,Andr?? Sch?¨rrle,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/58205,,12,,,,
676,Cyrus Christie,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/158623,,3.5,1.6,1.5,,
677,Andre-Frank Zambo Anguissa,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/354361,,25,,25,,
678,Ryan Babel,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/16135,,5,,,,
679,Luciano Vietto,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/214316,,7,,,,
680,Kevin McDonald,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/36529,,3,2,0.8,,
681,Marcus Bettinelli,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/116648,,4,1.6,2.5,,
682,Aboubakar Kamara,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/290951,,,1.6,,,
683,Stefan Johansen,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/62008,,4,3.2,2,,
684,H?ùvard Nordtveit,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/42234,,4,,,,
685,Floyd Ayit??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/77974,,2.5,,,,
686,Fabricio,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/45882,,4,,0.6,,
687,Ibrahima Ciss??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/160380,,1.5,,,,
688,Neeskens Kebano,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/111422,,3,1.2,1,3,2
689,Lazar Markovié?,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/144303,,4,,,,
690,Harvey Elliott,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/565822,,,3.6,15,22,35
691,Luca de la Torre,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/315762,,0.5,0.45,,,
692,Steven Sessegnon,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/406558,,2.5,2.3,2,,0.8
693,Erik Durm,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/93922,,2,,,,
694,Juninho Bacuna,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/348863,,3.5,3.5,5,,
695,Isaac Mbenza,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/260806,,5,,5,,
696,Karlan Grant,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/314183,,5,6.5,8,8,4.5
697,Adama Diakhaby,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/453594,,8,8,4.8,,
698,Aaron Rowe,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/657994,,,,,0.2,0.15
699,Demeaco Duhaney,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/380913,,,,0.3,0.3,
700,Matty Daly,https://www.transfermarkt.com/xx-xx/profil/spieler/566349,,,,0.25,,
701,Ryan Schofield,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/495441,,,,1,0.6,
702,Neco Williams,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/503680,,,4,8,8,20
703,Takumi Minamino,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/165793,,,10,12,12,
704,Rhian Brewster,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/406560,,,5.4,12,7,4
705,Ki-Jana Hoever,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/485583,,,3.6,7,6,3.5
706,Caoimh??n Kelleher,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/340918,,,0.9,2.5,8,12
707,Andy Lonergan,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/14044,,,0.25,0.25,0.25,0.15
708,Nathaniel Phillips,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/371814,,,0.8,8,8,4
709,Daniel James,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/319301,,,19,18,18,12
710,Bruno Fernandes,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/240306,,,70,90,85,75
711,Brandon Williams,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/507700,,,11,10,12,7
712,Odion Ighalo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/62121,,,5.2,3.5,,
713,Mason Mount,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/346483,,,40.5,75,75,60
714,Christian Pulisic,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/315779,,,60,50,42,25
715,Reece James,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/472423,,,22.5,40,60,65
716,Billy Gilmour,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/423744,,,5.4,10,12,12
717,Tariq Lamptey,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/504148,,,8,18,18,12
718,Faustino Anjorin,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/433181,,,2.3,,3,1
719,Armando Broja,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/571743,,,1,,22,28
720,Dennis Praet,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/129588,,,19,18,,7
721,James Justin,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/413220,,,6,17,25,20
722,Luke Thomas,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/505194,,,1,5,12,12
