V?ctor Camarasa,868,142,51,13,7,121,4,77,42,19,10,710,7,37
?tienne Capoue,1702,57,46,5,37,5,5,1,0,0,0,1480,5,15
Andy Carroll,130,7,0,0,0,1,0,0,0,0,0,83,0,5
Jonny Castro,1114,286,7,1,4,46,279,0,0,0,0,1099,5,45
Craig Cathcart,1263,23,20,0,9,3,3,0,0,0,0,1046,2,8
Ivan Cavaleiro,329,26,1,1,0,54,7,17,9,7,0,246,2,17
Petr ?ech,193,77,24,0,1,0,0,0,0,0,0,198,0,0
Nathaniel Chalobah,113,0,0,0,0,1,0,0,0,0,0,85,2,3
Calum Chambers,1476,25,22,2,22,14,3,0,0,0,0,1175,8,27
Ben Chilwell,1770,434,42,3,11,132,388,4,1,2,0,1544,13,55
Tahith Chong,15,0,0,0,0,0,0,0,0,0,0,12,0,1
Hamza Choudhury,231,13,7,0,5,3,1,0,0,0,0,205,0,5
Andreas Christensen,445,14,13,0,3,0,1,0,0,0,0,426,0,4
Cyrus Christie,963,243,11,0,7,90,232,0,0,0,0,870,4,36
Ibrahima Ciss?,34,0,0,0,0,0,0,0,0,0,0,29,0,0
Ciaran Clark,301,9,6,0,1,3,3,0,0,0,0,231,0,4
Tom Cleverley,216,9,6,0,0,4,0,2,1,0,0,175,0,8
Nathaniel Clyne,472,121,5,2,1,18,116,0,0,0,0,451,2,21
Nathaniel Clyne1,61,24,1,0,0,3,23,0,0,0,0,67,0,2
Conor Coady,1655,37,33,3,18,0,4,0,0,0,0,1427,8,3
Joel Coleman,28,9,3,0,0,0,0,0,0,0,0,14,0,0
S?amus Coleman,1267,341,8,0,4,81,333,0,0,0,0,1228,3,49
Lewis Cook,397,8,5,1,6,10,3,0,0,0,0,329,2,11
Steve Cook,1447,157,64,0,15,11,93,0,0,0,0,1243,6,10
Jack Cork,1335,9,4,3,20,14,1,1,1,0,0,1083,4,20
H?lder Costa,484,9,2,3,0,50,1,6,2,1,1,364,0,24
Aaron Cresswell,859,220,20,0,3,75,192,8,1,6,0,848,3,38
Peter Crouch,28,0,0,0,0,0,0,0,0,0,0,11,1,0
Greg Cunningham,179,38,7,0,1,7,31,0,0,0,0,157,3,2
Diogo Dalot,469,91,1,0,0,50,87,3,0,3,0,389,0,28
Matty Daly,12,0,0,0,0,0,0,0,0,0,0,7,1,1
Lo?c Damour,11,0,0,0,1,0,0,0,0,0,0,8,1,0
Charlie Daniels,829,190,36,1,6,27,152,2,0,0,0,799,5,21
Danilo,773,102,6,0,2,12,96,0,0,0,0,762,5,11
Scott Dann,245,20,19,0,2,0,1,0,0,0,0,193,3,3
Matteo Darmian,178,32,0,0,1,3,32,0,0,0,0,180,2,2
Ben Davies,1110,210,11,0,3,43,192,7,3,2,0,1065,0,34
Tom Davies,490,23,4,1,2,6,3,0,0,0,0,406,2,9
Steven Davis,69,0,0,1,0,1,0,0,0,0,0,65,0,0
Kevin De Bruyne,744,79,20,10,9,91,7,51,19,16,1,635,11,22
Troy Deeney,823,26,0,6,4,16,6,1,0,0,0,508,9,26
Jermain Defoe,2,1,0,0,0,0,0,0,0,0,0,1,0,0
Steven Defour,245,8,8,1,0,4,0,0,0,0,0,203,2,3
Fabian Delph,695,71,6,0,8,8,65,0,0,0,0,700,0,9
Mousa Demb?l?,301,8,4,0,0,0,1,0,0,0,0,277,0,2
Leander Dendoncker,614,1,0,0,3,7,1,0,0,0,0,484,0,13
Laurent Depoitre,268,10,0,0,0,4,0,0,0,0,0,164,0,7
Gerard Deulofeu,725,63,14,8,3,62,8,9,4,1,0,568,5,37
Fousseni Diabat?,16,0,0,0,0,2,0,0,0,0,0,9,0,1
Adama Diakhaby,156,5,0,1,0,14,0,1,1,0,0,114,1,7
Mohamed Diam?,737,10,1,5,13,12,1,0,0,0,0,569,2,13
Grady Diangana,252,8,1,0,1,14,2,5,3,0,2,196,5,9
Eric Dier,1066,26,23,5,7,6,3,0,0,0,0,923,1,19
Lucas Digne,1558,554,90,0,4,280,375,89,34,48,1,1478,7,77
Issa Diop,1112,26,22,0,7,0,4,0,0,0,0,979,3,12
Matt Doherty,1457,371,4,3,17,62,367,0,0,0,0,1324,10,55
