FName,LName,TMID
Miguel,Almir?n,272999
Emil,Krafth,184528
Bruno,Guimar?es,520624
Elliot,Anderson,567576
Jamal,Lewis,346018
Federico,Fern?ndez,85475
Ciaran,Clark,98240
Fabian,Sch?r,135343
Matt,Ritchie,92469
Jamaal,Lascelles,183318
Javier,Manquillo,162029
Martin,D?bravka,74960
Freddie,Woodman,226049
Ollie,Watkins,324358
Anwar,El Ghazi,183720
Lewis,Dobbin,627248
Karl,Darlow,99397
Paul,Dummett,170321
Jaden,Philogene,665390
,Mahmoud Trezeguet,234189
Joe,Willock,340329
Tommi,O'Reilly,818237
Mark,Gillespie,142389
Conor,Hourihane,61653
Leon,Bailey,387626
Emiliano,Buend?a,321247
Morgan,Sanson,174094
Aaron,Ramsey,646658
Jacob,Ramsey,503749
Bertrand,Traor?,131996
Hayden,Lindley,698097
Kieran,Trippier,95810
Lamare,Bogarde,645686
Marvelous,Nakamba,324882
Kaine,Kesler-Hayden,626888
Fr?d?ric,Guilbert,354352
Matty,Cash,425334
Philippe,Coutinho,80444
Ben,Chrisene,670846
Carney,Chukwuemeka,659459
Lucas,Digne,126664
Sil,Swinkels,646710
Kortney,Hause,233124
Matt,Targett,250478
Ezri,Konsa,413403
Joe,White,614811
Axel,Tuanzebe,342046
Filip,Marschall,610863
Jed,Steer,110867
Robin,Olsen,75458
Emiliano,Mart?nez,111873
,Douglas Luiz,447661
Viljami,Sinisalo,484838
Josh,Feeney,875929
Tyrone,Mings,253677
John,McGinn,193116
Tim,Iroegbunam,696589
Ashley,Young,14086
Harvey,Vale,581675
Kai,Havertz,309400
Charlie,Webster,697278
Danny,Drinkwater,73491
Mason,Mount,346483
Billy,Gilmour,423744
Ruben,Loftus-Cheek,202886
Ross,Barkley,131978
Mateo,Kovacic,51471
Xavier,Simons,599739
N'Golo,Kant?,225083
,Jorginho,102017
Lewis,Baker,198589
C?sar,Azpilicueta,57500
Lewis,Hall,670858
Dylan,Williams,732117
Callum,Hudson-Odoi,392768
Reece,James,472423
Xavier,Mbuyamba,640432
Jake,Clarke-Salter,316551
,Emerson,181778
Marcos,Alonso,112515
Trevoh,Chalobah,346314
Sa?l,??guez,148928
Lucas,Bergstr?m,490606
Marcus,Bettinelli,116648
Teddy,Sharman-Lowe,731466
Edouard,Mendy,442531
Malang,Sarr,344596
Armando,Broja,571743
Theo,Walcott,33713
Nathan,Tella,340322
Nathan,Redmond,129078
Andreas,Christensen,196948
Antonio,R?diger,86202
Mohamed,Elyounoussi,186644
Ben,Chilwell,316125
Moussa,Djenepo,485424
Ch?,Adams,346779
Stuart,Armstrong,130765
Will,Smallbone,444211
Kazeem,Olaigbe,565406
Tyler,Dibling,866655
Ibrahima,Diallo,413032
Yan,Valery,406008
Kepa,Arrizabalaga,192279
Tino,Livramento,503981
Romain,Perraud,318523
James,Ward-Prowse,181579
,Lyanco,379807
Jack,Stephens,163744
Abdul-Rahman,Baba,224884
Thiago,Silva,29241
Oriol,Romeu,66100
Kgaogelo,Chauke,703577
Mohammed,Salisu,563963
Fraser,Forster,52570
Alex,McCarthy,95976
Jan,Bednarek,243028
Eddie,Nketiah,340324
Alexandre,Lacazette,93720
Kyle,Walker-Peters,341051
Thierry,Small,746554
Reiss,Nelson,340325
Omari,Hutchinson,741238
Marcelo,Flores,668495
Dynel,Simeu,503976
Emile,Smith Rowe,392765
Martin,?degaard,316264
Ainsley,Maitland-Niles,285845
Willy,Caballero,19948
Pierre-Emerick,Aubameyang,58864
Albert Sambi,Lokonga,381967
Miguel,Azeez,547533
Gabriel,Martinelli,655488
Mohamed,Elneny,160438
Thomas,Partey,230784
Ryan,Alebiosu,610649
C?dric,Soares,112988
Harry,Lewis,341043
H?ctor,Beller?n,191217
Bukayo,Saka,433177
Takehiro,Tomiyasu,331560
Ben,White,335721
Nuno,Tavares,535955
Kieran,Tierney,300716
Zach,Awe,697282
Mazeed,Ogungbo,581445
Zak,Swanson,540687
Pablo,Mar?,210178
Rob,Holding,253341
Salah-Eddine,Oulad M'Hand,559330
Granit,Xhaka,111455
Gabriel,Magalh?es,435338
Arthur,Okonkwo,503769
Bernd,Leno,72476
Aaron,Ramsdale,427568
Danny,Welbeck,67063
Aaron,Connolly,434207
Neal,Maupay,217115
Nicolas,P?p?,343052
Leandro,Trossard,144028
Alex,Kirk,586980
Adam,Lallana,43530
Calum,Chambers,215118
Andy,Moran,724537
Taylor,Richards,484551
Marc,Leonard,463751
Karl,Hein,493513
Sead,Kolasinac,94005
Jakub,Moder,384461
Alexis,Mac Allister,534033
Solly,March,209212
Jeremy,Sarmiento,568005
Tudor,Baluta,433976
Abdallah,Sima,776798
Jo?l,Veltman,111195
James,Furlong,580030
Charlie,Patino,581674
Michal,Karbownik,401604
Steven,Alzate,476237
Odel,Offiah,567597
Antef,Tsoungui,503858
Pascal,Gro?,82873
Tariq,Lamptey,504148
Shane,Duffy,119269
Yves,Bissouma,410425
Jan Paul,van Hecke,576314
Dan,Burn,134270
Enock,Mwepu,490307
Matt,Clarke,307497
Marc,Cucurella,284857
Christian,Walton,208379
Tom,McGill,406556
Lewis,Dunk,148153
Robert,S?nchez,403151
Kjell,Scherpen,463527
Adam,Webster,212847
Haydon,Roberts,533523
Ed,Turns,580809
Mois?s,Caicedo,687626
Jason,Steele,73564
Michail,Antonio,104124
Armstrong,Oko-Flex,531461
Kamarai,Swyer,693066
Manuel,Lanzini,135853
Nikola,Vlasic,293200
Pablo,Fornals,357885
Pierre,Ekwah,538994
Freddie,Potts,698164
Jarrod,Bowen,314875
Dan,Chesters,561452
Tomas,Soucek,283628
Declan,Rice,357662
Mark,Noble,31835
Ryan,Fredericks,140191
Alex,Kral,337333
Ben,Johnson,468002
Conor,Coventry,419025
Harrison,Ashby,559130
Arthur,Masuaku,181380
Jamal,Baptiste,610706
Aji,Alese,502065
Angelo,Ogbonna,48002
Craig,Dawson,121477
Issa,Diop,272622
Aaron,Cresswell,92571
Kurt,Zouma,157509
Darren,Randolph,51321
Andriy,Yarmolenko,69015
Alphonse,Areola,120629
Sa?d,Benrahma,290532
Vladimir,Coufal,157672
Keenan,Appiah-Forson,554098
Lukasz,Fabianski,29692
David,Martin,15930
Emmanuel,Longelo,504386
Dane,Scarlett,670883
Jamie,Vardy,197838
Max,Woltman,696326
Robert,Street,703474
Luke,Plange,586986
Jordan,Ayew,108354
Jean-Philippe,Mateta,420002
Odsonne,Edouard,344152
Scott,Banks,596821
Jesurun,Rak-Sakyi,586834
Wilfried,Zaha,145988
Jeffrey,Schlupp,157506
Jack,Wells-Morrison,814811
Liam,Delap,610849
Michael,Olise,566723
Conor,Gallagher,488362
Luka,Milivojevic,74300
Jairo,Riedewald,241481
Martin,Kelly,78959
Nathaniel,Clyne,85177
Will,Hughes,207014
Tayo,Adaramola,724529
Christian,Benteke,50201
F?bio,Silva,505653
Eberechi,Eze,479999
Adama,Traor?,204103
James,McArthur,41416
,Trinc?o,412669
Pedro,Neto,487465
,Gabriel Jesus,363205
Hee-chan,Hwang,292246
Morgan,Gibbs-White,429014
Ra?l,Jim?nez,206040
,Chiquinho,695454
Bruno,Jord?o,415646
Chem,Campbell,614603
Cheikhou,Kouyat?,66934
R?ben,Neves,225161
N?lson,Semedo,231572
Jo?o,Moutinho,29364
Joel,Ward,92572
Leander,Dendoncker,168157
Ki-Jana,Hoever,485583
Connor,Ronan,337787
Luke,Cundle,532541
Daniel,Podence,256977
Dexter,Lembikisa,712099
Hugo,Bueno,698678
Jonny,Otto,175446
Christian,Marques,539807
,Toti,606718
Rayan,A?t-Nouri,578391
Yerson,Mosquera,716276
Ryan,Giles,504581
Willy,Boly,142310
Max,Kilman,525247
James,Storer,838367
Conor,Coady,128901
John,Ruddy,29712
Louie,Moulden,444641
Jos?,S?,249994
Tyrick,Mitchell,730893
Jaroslaw,Jach,327755
,Mar?al,137745
Reece,Hannam,503241
Joachim,Andersen,260827
Matija,Sarkic,293257
Nathan,Ferguson,507254
James,Tomkins,61592
Romain,Sa?ss,204198
Vicente,Guaita,64399
Jack,Butland,128899
Dion,Sanderson,495993
Marc,Gu?hi,392757
Remi,Matthews,196722
Divock,Origi,148368
,Roberto Firmino,131789
Sheyi,Ojo,236510
,Mohamed Salah,148455
Takumi,Minamino,165793
,Diogo Jota,340950
Luis,D?az,480692
Sadio,Man?,200512
James,Balagizi,655987
Ben,Woodburn,344015
Harvey,Elliott,565822
Elijah,Dixon-Bonner,433180
Jordan,Henderson,61651
Alex,Oxlade-Chamberlain,143424
James,Milner,3333
,Thiago,60444
Melkamu,Frauendorf,594721
Naby,Ke?ta,302215
,Fabinho,225693
Neco,Williams,503680
James,Norris,618495
Harvey,Blair,707164
Owen,Beck,551001
Konstantinos,Tsimikas,338070
Conor,Bradley,624258
Billy,Koumetio,696324
Curtis,Jones,433188
Ben,Davies,257097
Rhys,Williams,503679
Sepp,van den Berg,541231
Kaide,Gordon,732119
Nathaniel,Phillips,371814
Ibrahima,Konat?,357119
Virgil,van Dijk,139208
Tyler,Morton,618494
Liam,Hughes,494284
Isaac,Mabaya,670843
Harvey,Davies,706815
,Adri?n,71271
Trent,Alexander-Arnold,314353
Jarell,Quansah,632349
Loris,Karius,85864
Caoimh?n,Kelleher,340918
Andrew,Robertson,234803
Joel,Matip,82105
Joe,Gomez,256178
,Marcelo Pitaluga,662334
,Alisson,105470
Harry,Kane,132098
Dilan,Markanday,530807
,Lucas Moura,77100
J'Neil,Bennett,554174
Steven,Bergwijn,284165
Jack,Clarke,559794
Dejan,Kulusevski,431755
Ryan,Sessegnon,392775
Bryan,Gil,537382
Heung-min,Son,91845
Alfie,Devine,728734
Pierre-Emile,H?jbjerg,167799
Michael,Craig,633621
Harvey,White,581598
Matthew,Craig,633659
Harry,Winks,249126
Nile,John,581683
Oliver,Skipp,406638
Marcel,Lavinier,392772
Romaine,Mundle,696181
,Emerson Royal,476344
Ben,Davies,192765
Jamie,Bowden,504051
Brooklyn,Lyons-Foster,462698
Tobi,Omole,503687
Malachi,Fagan-Walcott,554173
Maksim,Paskotsi,488298
Kallum,Cesay,696183
Joe,Rodon,297212
Japhet,Tanganga,346478
Eric,Dier,175722
Davinson,S?nchez,341429
Matt,Doherty,171679
Cameron,Carter-Vickers,341049
Cristian,Romero,355915
Pierluigi,Gollini,244192
Kelechi,Iheanacho,295330
Rodrigo,Bentancur,354362
Ademola,Lookman,406040
Hugo,Lloris,17965
Sergio,Reguil?n,282429
Will,Alves,867711
Kasey,McAteer,621193
James,Maddison,294057
Marc,Albrighton,61560
,Wanya Mar?al,670988
Oliver,Ewing,583953
Kiernan,Dewsbury-Hall,475188
Dennis,Praet,129588
Ayoze,P?rez,246968
Sammy,Braybrooke,840640
Giovani,Lo Celso,348795
Hamza,Choudhury,341501
Boubakary,Soumar?,344605
Lewis,Brunt,533657
Wilfred,Ndidi,274839
Ricardo,Pereira,215876
James,Justin,413220
Timothy,Castagne,262226
Ryan,Bertrand,40611
Ben,Nelson,714458
Sam,Hughes,395797
Filip,Benkovic,293168
Luke,Thomas,505194
Tanguy,Ndomb?l?,450936
Jannik,Vestergaard,99331
Daniel,Amartey,214056
Jonny,Evans,42412
Wesley,Fofana,475411
Chituru,Odunze,627198
Jakub,Stolarczyk,486144
Kasper,Schmeichel,16911
Brandon,Austin,428016
Harvey,Barnes,398065
Ben,Knight,568007
,Kayky,668265
Riyad,Mahrez,171424
Caglar,S?y?nc?,320141
Ferran,Torres,398184
Jack,Grealish,203460
Patson,Daka,365172
Raheem,Sterling,134425
Danny,Ward,203026
Cole,Palmer,568177
Bernardo,Silva,241641
Youri,Tielemans,249565
Tommy,Doyle,433183
James,McAtee,583199
Kevin,De Bruyne,88755
Eldin,Jakupovic,2857
,Fernandinho,26267
Claudio,Gomes,395239
Ilkay,G?ndogan,53622
Kyle,Walker,95424
Benjamin,Mendy,157495
Josh,Wilson-Esbrand,576121
,Rodri,357565
Rom?o,Lavia,628451
Samuel,Edozie,680806
Luke,Mbete,609883
Finley,Burns,581681
Philippe,Sandler,340460
Nathan,Ak?,177476
John,Stones,186590
Aymeric,Laporte,176553
Oscar,Bobb,661207
Phil,Foden,406635
Scott,Carson,14555
Zack,Steffen,221624
,Ederson,238223
Jo?o,Cancelo,182712
Cieran,Slicker,621997
CJ,Egan-Riley,581669
Nampalys,Mendy,111051
Oleksandr,Zinchenko,203853
Edinson,Cavani,48280
R?ben,Dias,258004
Anthony,Martial,182877
,Cristiano Ronaldo,8198
Mason,Greenwood,532826
Amad,Diallo,536835
Anthony,Elanga,583189
Marcus,Rashford,258923
Jadon,Sancho,401173
Juan,Mata,44068
Tahith,Chong,344830
Bruno,Fernandes,240306
,Fred,191614
Andreas,Pereira,203394
Paul,Pogba,122153
,Hannibal,607224
James,Garner,505219
Diogo,Dalot,357147
Alejandro,Garnacho,811779
Aaron,Wan-Bissaka,477758
?lvaro,Fernandez,811778
Charlie,Savage,686837
Luke,Shaw,183288
Bj?rn,Hardley,682562
Teden,Mengi,548470
Shola,Shoretire,640026
Nemanja,Mati?,74683
Harry,Maguire,177907
Scott,McTominay,315969
Rapha?l,Varane,164770
Alex,Telles,255755
Phil,Jones,117996
Tom,Heaton,34130
Matej,Kovar,550829
Jesse,Lingard,141660
Victor,Lindel?f,184573
Lee,Grant,13460
Zidane,Iqbal,686845
David,de Gea,59377
Eric,Bailly,286384
Dean,Henderson,258919
